dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.162995,7.891517,0.002500,0.100000,2.000000,40.000000,0.000332
0.050000,0.169533,7.891513,0.009038,0.130768,0.615356,-27.692887,6.281831
0.050000,0.182892,7.891476,0.022397,0.267169,2.728019,42.253275,6.279014
0.050000,0.201597,7.891361,0.041102,0.374109,2.138808,-11.784225,6.275059
0.050000,0.225652,7.891104,0.065159,0.481130,2.140418,0.032194,6.269952
0.050000,0.255060,7.890623,0.094571,0.588238,2.142159,0.034825,6.263679
0.050000,0.289823,7.889815,0.129343,0.695455,2.144348,0.043777,6.256222
0.050000,0.329944,7.888559,0.169484,0.802811,2.147108,0.055199,6.247559
0.050000,0.375422,7.886714,0.214999,0.910296,2.149709,0.052023,6.237667
0.050000,0.426252,7.884115,0.265896,1.017937,2.152819,0.062194,6.226522
0.050000,0.482428,7.880578,0.322183,1.125737,2.155991,0.063455,6.214096
0.050000,0.543935,7.875898,0.383867,1.233697,2.159211,0.064389,6.200365
0.050000,0.610752,7.869846,0.450958,1.341816,2.162378,0.063340,6.185301
0.050000,0.682848,7.862169,0.523462,1.450076,2.165186,0.056171,6.168882
0.050000,0.760181,7.852594,0.601385,1.558465,2.167787,0.052005,6.151086
0.050000,0.842693,7.840824,0.684732,1.666945,2.169611,0.036482,6.131897
0.050000,0.930311,7.826543,0.773507,1.775485,2.170802,0.023824,6.111307
0.050000,1.020300,7.809931,0.865016,1.830189,1.094064,-21.534760,6.089945
0.050000,1.109948,7.791387,0.956562,1.830911,0.014440,-21.592482,6.068465
0.050000,1.199201,7.770913,1.048133,1.831433,0.010439,-0.080026,6.046898
0.050000,1.288007,7.748512,1.139721,1.831749,0.006324,-0.082285,6.025280
0.050000,1.376312,7.724194,1.231314,1.831856,0.002148,-0.083537,6.003644
0.050000,1.464066,7.697973,1.322901,1.831749,-0.002144,-0.085837,5.982026
0.050000,1.551218,7.669868,1.414473,1.831431,-0.006368,-0.084473,5.960460
0.050000,1.637720,7.639903,1.506018,1.830904,-0.010525,-0.083150,5.938980
0.050000,1.723526,7.608105,1.597526,1.830171,-0.014673,-0.082946,5.917621
0.050000,1.808593,7.574504,1.688988,1.829240,-0.018620,-0.078943,5.896415
0.050000,1.892879,7.539137,1.780394,1.828117,-0.022463,-0.076852,5.875393
0.050000,1.976348,7.502041,1.871735,1.826812,-0.026088,-0.072502,5.854585
0.050000,2.058964,7.463257,1.963002,1.825337,-0.029502,-0.068283,5.834019
0.050000,2.140697,7.422830,2.054187,1.823703,-0.032675,-0.063457,5.813721
0.050000,2.221521,7.380805,2.145283,1.821923,-0.035600,-0.058506,5.793715
0.050000,2.301410,7.337229,2.236284,1.820012,-0.038237,-0.052744,5.774024
0.050000,2.380345,7.292153,2.327183,1.817981,-0.040610,-0.047455,5.754665
0.050000,2.458309,7.245625,2.417975,1.815846,-0.042701,-0.041814,5.735657
0.050000,2.535289,7.197696,2.508656,1.813621,-0.044503,-0.036048,5.717014
0.050000,2.611275,7.148418,2.599222,1.811319,-0.046028,-0.030502,5.698749
0.050000,2.686260,7.097841,2.689670,1.808953,-0.047324,-0.025914,5.680872
0.050000,2.760240,7.046015,2.779996,1.806539,-0.048294,-0.019395,5.663391
0.050000,2.833214,6.992991,2.870201,1.804085,-0.049067,-0.015475,5.646314
0.050000,2.905184,6.938818,2.960281,1.801604,-0.049614,-0.010939,5.629643
0.050000,2.976154,6.883544,3.050236,1.799107,-0.049953,-0.006773,5.613382
0.050000,3.046130,6.827216,3.140066,1.796603,-0.050074,-0.002423,5.597532
0.050000,3.115120,6.769880,3.229772,1.794101,-0.050040,0.000682,5.582092
0.050000,3.183133,6.711580,3.319352,1.791610,-0.049818,0.004429,5.567061
0.050000,3.250183,6.652361,3.408809,1.789138,-0.049449,0.007398,5.552436
0.050000,3.316280,6.592263,3.498143,1.786687,-0.049011,0.008749,5.538214
0.050000,3.381440,6.531327,3.587357,1.784267,-0.048414,0.011941,5.524388
0.050000,3.445677,6.469591,3.676451,1.781879,-0.047744,0.013402,5.510954
0.050000,3.509008,6.407092,3.765427,1.779532,-0.046945,0.015983,5.497905
0.050000,3.571448,6.343867,3.854288,1.777225,-0.046142,0.016059,5.485236
0.050000,3.633016,6.279948,3.943036,1.774961,-0.045290,0.017047,5.472937
0.050000,3.698618,6.207808,4.040544,1.950151,3.503811,70.982020,5.422022
0.050000,3.763024,6.128288,4.142875,2.046613,1.929243,-31.491374,5.365117
0.050000,3.821963,6.046922,4.243346,2.009420,-0.743865,-53.462163,5.314324
0.050000,3.875928,5.964407,4.341940,1.971891,-0.750576,-0.134210,5.269696
0.050000,3.925475,5.881292,4.438703,1.935256,-0.732702,0.357484,5.231084
0.050000,3.971180,5.797996,4.533714,1.900227,-0.700579,0.642454,5.198224
0.050000,4.013603,5.714836,4.627070,1.867110,-0.662344,0.764706,5.170802
0.050000,4.053273,5.632054,4.718866,1.835928,-0.623646,0.773961,5.148498
0.050000,4.090681,5.549838,4.809192,1.806518,-0.588200,0.708924,5.131021
0.050000,4.126278,5.468344,4.898122,1.778600,-0.558348,0.597032,5.118125
0.050000,4.160480,5.387705,4.985714,1.751838,-0.535251,0.461936,5.109621
0.050000,4.193667,5.308049,5.072007,1.725859,-0.519582,0.313390,5.105379
0.050000,4.226194,5.229504,5.157021,1.700273,-0.511703,0.157571,5.105334
0.050000,4.258390,5.152206,5.240755,1.674690,-0.511660,0.000856,5.109486
0.050000,4.290563,5.076308,5.323191,1.648715,-0.519519,-0.157168,5.117898
0.050000,4.323002,5.001980,5.404289,1.621961,-0.535065,-0.310936,5.130698
0.050000,4.355980,4.929420,5.483992,1.594053,-0.558170,-0.462100,5.148074
0.050000,4.389750,4.858852,5.562224,1.564649,-0.588070,-0.597988,5.170272
0.050000,4.424546,4.790529,5.638898,1.533471,-0.623572,-0.710045,5.197582
0.050000,4.460579,4.724732,5.713915,1.500353,-0.662360,-0.775751,5.230322
0.050000,4.498034,4.661764,5.787180,1.465301,-0.701032,-0.773449,5.268807
0.050000,4.537064,4.601939,5.858611,1.428623,-0.733555,-0.650455,5.313305
0.050000,4.577793,4.545561,5.928162,1.391020,-0.752068,-0.370270,5.363966
0.050000,4.620318,4.492902,5.995848,1.353708,-0.746239,0.116594,5.420743
0.050000,4.664723,4.444177,6.061772,1.318475,-0.704666,0.831460,5.483294
0.050000,4.711094,4.399518,6.126151,1.287588,-0.617734,1.738631,5.550906
0.050000,4.759541,4.358971,6.189327,1.263513,-0.481497,2.724732,5.622463
0.050000,4.810203,4.322504,6.251748,1.248430,-0.301653,3.596885,5.696493
0.050000,4.863240,4.290040,6.313932,1.243673,-0.095146,4.130146,5.771301
0.050000,4.918126,4.261800,6.375657,1.234500,-0.183466,-1.766392,5.844312
0.050000,4.973119,4.238245,6.435483,1.196524,-0.759528,-11.521253,5.912054
0.050000,5.026844,4.219212,6.492479,1.139930,-1.131874,-7.446925,5.972684
0.050000,5.078843,4.204069,6.546639,1.083183,-1.134944,-0.061392,6.026227
0.050000,5.128664,4.192233,6.597846,1.024143,-1.180798,-0.917078,6.073056
0.050000,5.175889,4.183174,6.645932,0.961728,-1.248287,-1.349774,6.113726
0.050000,5.220153,4.176407,6.690710,0.895563,-1.323313,-1.500532,6.148844
0.050000,5.261149,4.171502,6.731999,0.825773,-1.395803,-1.449804,6.179013
0.050000,5.298624,4.168077,6.769630,0.752625,-1.462941,-1.342745,6.204777
0.050000,5.332375,4.165799,6.803457,0.676541,-1.521682,-1.174835,6.226620
0.050000,5.362240,4.164384,6.833356,0.597967,-1.571490,-0.996158,6.244951
0.050000,5.388091,4.163593,6.859220,0.517280,-1.613731,-0.844806,6.260113
0.050000,5.409833,4.163226,6.880964,0.434886,-1.647880,-0.682994,6.272386
0.050000,5.427389,4.163121,6.898520,0.351129,-1.675153,-0.545449,6.281993
0.050000,5.440707,4.163152,6.911838,0.266360,-1.695382,-0.404582,0.005921
0.050000,5.449745,4.163227,6.920877,0.180769,-1.711813,-0.328630,0.010665
0.050000,5.454480,4.163284,6.925613,0.094717,-1.721036,-0.184461,0.013125
0.050000,5.455771,4.163301,6.926903,0.025810,-1.378147,6.857784,0.013792
0.050000,5.455771,4.163301,6.926903,0.000000,-0.516195,17.239053,0.013792
