dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.163096,7.586717,0.002500,0.100000,2.000000,40.000000,0.000332
0.050000,0.169120,7.586713,0.010000,0.200000,2.000000,0.000000,6.281831
0.050000,0.181620,7.586679,0.022500,0.300000,2.000000,0.000000,6.279014
0.050000,0.199120,7.586571,0.040000,0.400000,2.000000,-0.000000,6.275059
0.050000,0.221619,7.586331,0.062500,0.500000,2.000000,0.000000,6.269952
0.050000,0.249115,7.585881,0.090000,0.600000,2.000000,-0.000000,6.263679
0.050000,0.281606,7.585126,0.122500,0.700000,2.000000,0.000000,6.256222
0.050000,0.319088,7.583953,0.160000,0.800000,2.000000,0.000000,6.247559
0.050000,0.361552,7.582229,0.202500,0.900000,2.000000,0.000000,6.237667
0.050000,0.408990,7.579804,0.250000,1.000000,2.000000,-0.000000,6.226522
0.050000,0.461386,7.576506,0.302500,1.100000,2.000000,0.000000,6.214096
0.050000,0.518720,7.572143,0.360000,1.200000,2.000000,-0.000000,6.200365
0.050000,0.580965,7.566505,0.422500,1.300000,2.000000,0.000000,6.185301
0.050000,0.648084,7.559358,0.490000,1.400000,2.000000,0.000000,6.168882
0.050000,0.720034,7.550449,0.562500,1.500000,2.000000,0.000000,6.151086
0.050000,0.796756,7.539506,0.640000,1.600000,2.000000,-0.000000,6.131897
0.050000,0.878180,7.526234,0.722500,1.700000,2.000000,0.000000,6.111307
0.050000,0.961766,7.510804,0.807500,1.700000,0.000000,-40.000000,6.089945
0.050000,1.045003,7.493587,0.892500,1.700000,0.000000,0.000000,6.068465
0.050000,1.127849,7.474582,0.977500,1.700000,0.000000,0.000000,6.046898
0.050000,1.210266,7.453792,1.062500,1.700000,0.000000,0.000000,6.025280
0.050000,1.292214,7.431225,1.147500,1.700000,0.000000,0.000000,6.003644
0.050000,1.373654,7.406891,1.232500,1.700000,0.000000,0.000000,5.982026
0.050000,1.454550,7.380804,1.317500,1.700000,0.000000,0.000000,5.960460
0.050000,1.534866,7.352982,1.402500,1.700000,0.000000,0.000000,5.938980
0.050000,1.614568,7.323445,1.487500,1.700000,0.000000,0.000000,5.917621
0.050000,1.693622,7.292219,1.572500,1.700000,0.000000,0.000000,5.896415
0.050000,1.772000,7.259331,1.657500,1.700000,0.000000,0.000000,5.875393
0.050000,1.849673,7.224810,1.742500,1.700000,0.000000,0.000000,5.854585
0.050000,1.926615,7.188690,1.827500,1.700000,0.000000,0.000000,5.834019
0.050000,2.002803,7.151006,1.912500,1.700000,0.000000,0.000000,5.813721
0.050000,2.078217,7.111794,1.997500,1.700000,0.000000,0.000000,5.793715
0.050000,2.152837,7.071092,2.082500,1.700000,0.000000,0.000000,5.774024
0.050000,2.226648,7.028941,2.167500,1.700000,0.000000,0.000000,5.754665
0.050000,2.299637,6.985382,2.252500,1.700000,0.000000,0.000000,5.735657
0.050000,2.371793,6.940457,2.337500,1.700000,0.000000,0.000000,5.717014
0.050000,2.443108,6.894208,2.422500,1.700000,0.000000,0.000000,5.698749
0.050000,2.513575,6.846677,2.507500,1.700000,0.000000,0.000000,5.680872
0.050000,2.583191,6.797909,2.592500,1.700000,0.000000,0.000000,5.663391
0.050000,2.651955,6.747944,2.677500,1.700000,0.000000,0.000000,5.646314
0.050000,2.719865,6.696827,2.762500,1.700000,0.000000,0.000000,5.629643
0.050000,2.786925,6.644598,2.847500,1.700000,0.000000,0.000000,5.613382
0.050000,2.853137,6.591299,2.932500,1.700000,0.000000,0.000000,5.597532
0.050000,2.918507,6.536971,3.017500,1.700000,0.000000,0.000000,5.582092
0.050000,2.983043,6.481653,3.102500,1.700000,0.000000,0.000000,5.567061
0.050000,3.046751,6.425384,3.187500,1.700000,0.000000,0.000000,5.552436
0.050000,3.109641,6.368203,3.272500,1.700000,0.000000,0.000000,5.538214
0.050000,3.171722,6.310145,3.357500,1.700000,0.000000,0.000000,5.524388
0.050000,3.233007,6.251246,3.442500,1.700000,0.000000,0.000000,5.510954
0.050000,3.293507,6.191541,3.527500,1.700000,0.000000,0.000000,5.497905
0.050000,3.353234,6.131063,3.612500,1.700000,0.000000,0.000000,5.485236
0.050000,3.412201,6.069844,3.697500,1.700000,0.000000,0.000000,5.472937
0.050000,3.467396,6.009214,3.782500,1.700000,0.000000,0.000000,5.422022
