dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.163197,7.281918,0.002500,0.100000,2.000000,40.000000,0.000332
0.050000,0.168707,7.281914,0.008010,0.110207,0.204136,-35.917285,6.281831
0.050000,0.180349,7.281882,0.019652,0.232830,2.452466,44.966614,6.279014
0.050000,0.196643,7.281781,0.035946,0.325885,1.861104,-11.827246,6.275059
0.050000,0.217585,7.281558,0.056890,0.418872,1.859741,-0.027272,6.269952
0.050000,0.243170,7.281139,0.082478,0.511760,1.857763,-0.039548,6.263679
0.050000,0.273389,7.280437,0.112705,0.604535,1.855499,-0.045279,6.256222
0.050000,0.308231,7.279346,0.147564,0.697192,1.853125,-0.047489,6.247559
0.050000,0.347683,7.277745,0.187049,0.789696,1.850096,-0.060573,6.237667
0.050000,0.391728,7.275493,0.231152,0.882052,1.847109,-0.059744,6.226522
0.050000,0.440345,7.272433,0.279864,0.974248,1.843922,-0.063735,6.214096
0.050000,0.493505,7.268388,0.333178,1.066283,1.840703,-0.064379,6.200365
0.050000,0.551177,7.263164,0.391086,1.158163,1.837588,-0.062302,6.185301
0.050000,0.613320,7.256547,0.453581,1.249892,1.834580,-0.060163,6.168882
0.050000,0.679887,7.248305,0.520656,1.341498,1.832124,-0.049109,6.151086
0.050000,0.750819,7.238187,0.592306,1.433003,1.830099,-0.040498,6.131897
0.050000,0.826049,7.225926,0.668529,1.524455,1.829045,-0.021081,6.111307
0.050000,0.903233,7.211677,0.747016,1.569749,0.905871,-18.463496,6.089945
0.050000,0.980057,7.195786,0.825467,1.569024,-0.014497,-18.407344,6.068465
0.050000,1.056497,7.178251,0.903892,1.568500,-0.010471,0.080506,6.046898
0.050000,1.132525,7.159073,0.982301,1.568184,-0.006329,0.082853,6.025280
0.050000,1.208115,7.138257,1.060705,1.568079,-0.002097,0.084636,6.003644
0.050000,1.283242,7.115809,1.139115,1.568184,0.002105,0.084026,5.982026
0.050000,1.357882,7.091739,1.217540,1.568502,0.006356,0.085022,5.960460
0.050000,1.432012,7.066060,1.295991,1.569031,0.010578,0.084457,5.938980
0.050000,1.505609,7.038786,1.374479,1.569763,0.014651,0.081444,5.917621
0.050000,1.578652,7.009934,1.453014,1.570697,0.018664,0.080276,5.896415
0.050000,1.651121,6.979525,1.531605,1.571820,0.022473,0.076164,5.875393
0.050000,1.722999,6.947580,1.610262,1.573126,0.026114,0.072824,5.854585
0.050000,1.794267,6.914124,1.688992,1.574603,0.029532,0.068359,5.834019
0.050000,1.864909,6.879182,1.767804,1.576238,0.032711,0.063578,5.813721
0.050000,1.934912,6.842783,1.846705,1.578019,0.035623,0.058247,5.793715
0.050000,2.004263,6.804955,1.925701,1.579933,0.038280,0.053145,5.774024
0.050000,2.072951,6.765730,2.004799,1.581966,0.040647,0.047340,5.754665
0.050000,2.140964,6.725140,2.084005,1.584102,0.042733,0.041721,5.735657
0.050000,2.208297,6.683218,2.163321,1.586330,0.044546,0.036249,5.717014
0.050000,2.274941,6.639998,2.242753,1.588634,0.046084,0.030771,5.698749
0.050000,2.340891,6.595514,2.322303,1.591000,0.047322,0.024759,5.680872
0.050000,2.406143,6.549802,2.401974,1.593418,0.048365,0.020858,5.663391
0.050000,2.470695,6.502897,2.481767,1.595874,0.049124,0.015173,5.646314
0.050000,2.534546,6.454835,2.561685,1.598357,0.049653,0.010590,5.629643
0.050000,2.597695,6.405652,2.641728,1.600855,0.049968,0.006293,5.613382
0.050000,2.660144,6.355382,2.721896,1.603361,0.050108,0.002803,5.597532
0.050000,2.721895,6.304061,2.802189,1.605863,0.050051,-0.001137,5.582092
0.050000,2.782952,6.251725,2.882607,1.608356,0.049859,-0.003845,5.567061
0.050000,2.843319,6.198407,2.963149,1.610833,0.049529,-0.006594,5.552436
0.050000,2.903001,6.144142,3.043813,1.613284,0.049021,-0.010172,5.538214
0.050000,2.962005,6.088962,3.124598,1.615706,0.048446,-0.011491,5.524388
0.050000,3.020338,6.032901,3.205503,1.618094,0.047756,-0.013794,5.510954
0.050000,3.078006,5.975989,3.286525,1.620445,0.047029,-0.014544,5.497905
0.050000,3.135020,5.918259,3.367663,1.622754,0.046176,-0.017072,5.485236
0.050000,3.191386,5.859740,3.448914,1.625017,0.045260,-0.018318,5.472937
0.050000,3.236175,5.810620,3.515387,1.329468,-5.910980,-119.124798,5.422022
0.050000,3.278739,5.758044,3.583033,1.352925,0.469137,127.602338,5.365117
0.050000,3.319506,5.701743,3.652544,1.390213,0.745762,5.532503,5.314324
0.050000,3.358571,5.641988,3.723935,1.427825,0.752245,0.129665,5.269696
0.050000,3.396058,5.579084,3.797162,1.464533,0.734142,-0.362066,5.231084
0.050000,3.432120,5.513345,3.872143,1.499622,0.701783,-0.647179,5.198224
0.050000,3.466941,5.445072,3.948782,1.532784,0.663255,-0.770566,5.170802
0.050000,3.500730,5.374549,4.026982,1.564002,0.624344,-0.778206,5.148498
0.050000,3.533722,5.302029,4.106654,1.593441,0.588782,-0.711257,5.131021
0.050000,3.566170,5.227737,4.187723,1.621377,0.558723,-0.601178,5.118125
0.050000,3.598346,5.151871,4.270131,1.648152,0.535507,-0.464306,5.109621
0.050000,3.630538,5.074601,4.353838,1.674141,0.519767,-0.314811,5.105379
0.050000,3.663055,4.996082,4.438824,1.699728,0.511743,-0.160472,5.105334
0.050000,3.696224,4.916448,4.525090,1.725309,0.511617,-0.002519,5.109486
0.050000,3.730400,4.835829,4.612653,1.751275,0.519325,0.154165,5.117898
0.050000,3.765963,4.754351,4.701554,1.778018,0.534865,0.310782,5.130698
0.050000,3.803328,4.672150,4.791850,1.805906,0.557759,0.457898,5.148074
0.050000,3.842945,4.589378,4.883614,1.835281,0.587503,0.594870,5.170272
0.050000,3.885303,4.506224,4.976935,1.866421,0.622802,0.705984,5.197582
0.050000,3.930932,4.422928,5.071910,1.899500,0.661567,0.775291,5.230322
0.050000,3.980391,4.339805,5.168634,1.934488,0.699759,0.763838,5.268807
0.050000,4.034255,4.257272,5.267189,1.971095,0.732145,0.647722,5.313305
0.050000,4.093083,4.175874,5.367620,2.008616,0.750421,0.365534,5.363966
0.050000,4.157367,4.096306,5.469911,2.045833,0.744343,-0.121569,5.420743
0.050000,4.227469,4.019417,5.573960,2.080968,0.702701,-0.832833,5.483294
