dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.364924,5.589413,0.002500,0.100000,2.000000,40.000000,0.000511
0.050000,1.371203,5.589408,0.008779,0.125574,0.511471,-29.770590,6.281628
0.050000,1.384750,5.589363,0.022326,0.270944,2.907419,47.918978,6.278193
0.050000,1.403709,5.589223,0.041285,0.379190,2.164906,-14.850279,6.273404
0.050000,1.428072,5.588910,0.065650,0.487295,2.162109,-0.055926,6.267286
0.050000,1.457827,5.588327,0.095411,0.595212,2.158329,-0.075610,6.259869
0.050000,1.492958,5.587355,0.130555,0.702889,2.153548,-0.095621,6.251193
0.050000,1.533443,5.585858,0.171068,0.810266,2.147531,-0.120340,6.241306
0.050000,1.579256,5.583685,0.216932,0.917278,2.140254,-0.145539,6.230269
0.050000,1.630359,5.580666,0.268125,1.023849,2.131418,-0.176724,6.218153
0.050000,1.686709,5.576624,0.324620,1.129902,2.121050,-0.207348,6.205045
0.050000,1.748253,5.571370,0.386388,1.235354,2.109052,-0.239969,6.191041
0.050000,1.814927,5.564709,0.453393,1.340110,2.095113,-0.278775,6.176257
0.050000,1.886657,5.556446,0.525597,1.444086,2.079529,-0.311677,6.160821
0.050000,1.963359,5.546388,0.602957,1.547186,2.061988,-0.350820,6.144876
0.050000,2.044942,5.534348,0.685423,1.649322,2.042723,-0.385296,6.128580
0.050000,2.131304,5.520153,0.772943,1.750411,2.021773,-0.419016,6.112105
0.050000,2.219745,5.504135,0.862823,1.797595,0.943690,-21.561643,6.096092
0.050000,2.307630,5.486806,0.952401,1.791554,-0.120819,-21.290182,6.081071
0.050000,2.394956,5.468266,1.041673,1.785444,-0.122206,-0.027753,6.067052
0.050000,2.481723,5.448615,1.130637,1.779289,-0.123106,-0.017988,6.054043
0.050000,2.567937,5.427954,1.219293,1.773109,-0.123593,-0.009752,6.042048
0.050000,2.653608,5.406378,1.307639,1.766921,-0.123747,-0.003073,6.031069
0.050000,2.738750,5.383986,1.395676,1.760739,-0.123640,0.002145,6.021104
0.050000,2.823378,5.360870,1.483405,1.754573,-0.123338,0.006033,6.012151
0.050000,2.907513,5.337124,1.570826,1.748427,-0.122902,0.008714,6.004206
0.050000,2.991174,5.312837,1.657941,1.742308,-0.122386,0.010320,5.997265
0.050000,3.074385,5.288099,1.744752,1.736216,-0.121837,0.010986,5.991324
0.050000,3.157171,5.262996,1.831260,1.730152,-0.121295,0.010846,5.986377
0.050000,3.239555,5.237614,1.917465,1.724112,-0.120796,0.009980,5.982422
0.050000,3.321563,5.212036,2.003370,1.718094,-0.120361,0.008707,5.979454
0.050000,3.403222,5.186345,2.088975,1.712093,-0.120014,0.006924,5.977470
0.050000,3.484557,5.160623,2.174280,1.706104,-0.119777,0.004749,5.976468
0.050000,3.565593,5.134950,2.259286,1.700121,-0.119656,0.002416,5.976448
0.050000,3.646357,5.109405,2.343993,1.694138,-0.119657,-0.000021,5.977410
0.050000,3.726871,5.084067,2.428400,1.688150,-0.119778,-0.002419,5.979354
0.050000,3.807161,5.059015,2.512508,1.682149,-0.120016,-0.004760,5.982282
0.050000,3.887249,5.034326,2.596314,1.676131,-0.120363,-0.006946,5.986198
0.050000,3.967155,5.010078,2.679819,1.670091,-0.120800,-0.008736,5.991104
0.050000,4.046901,4.986349,2.763020,1.664025,-0.121306,-0.010115,5.997005
0.050000,4.126504,4.963216,2.845917,1.657933,-0.121853,-0.010948,6.003905
0.050000,4.205982,4.940756,2.928507,1.651812,-0.122409,-0.011109,6.011809
0.050000,4.285350,4.919046,3.010791,1.645666,-0.122931,-0.010437,6.020721
0.050000,4.364620,4.898163,3.092765,1.639497,-0.123375,-0.008897,6.030645
0.050000,4.443804,4.878183,3.174431,1.633312,-0.123693,-0.006342,6.041584
0.050000,4.522911,4.859184,3.255787,1.627122,-0.123814,-0.002438,6.053537
