dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.365080,5.284613,0.002500,0.100000,2.000000,40.000000,0.000511
0.050000,1.370728,5.284608,0.010000,0.200000,2.000000,0.000000,6.281628
0.050000,1.383228,5.284567,0.022500,0.300000,2.000000,0.000000,6.278193
0.050000,1.400728,5.284438,0.040000,0.400000,2.000000,-0.000000,6.273404
0.050000,1.423226,5.284149,0.062500,0.500000,2.000000,0.000000,6.267286
0.050000,1.450721,5.283610,0.090000,0.600000,2.000000,-0.000000,6.259869
0.050000,1.483208,5.282711,0.122500,0.700000,2.000000,0.000000,6.251193
0.050000,1.520682,5.281326,0.160000,0.800000,2.000000,0.000000,6.241306
0.050000,1.563134,5.279311,0.202500,0.900000,2.000000,0.000000,6.230269
0.050000,1.610551,5.276511,0.250000,1.000000,2.000000,-0.000000,6.218153
0.050000,1.662916,5.272754,0.302500,1.100000,2.000000,0.000000,6.205045
0.050000,1.720207,5.267863,0.360000,1.200000,2.000000,-0.000000,6.191041
0.050000,1.782397,5.261650,0.422500,1.300000,2.000000,0.000000,6.176257
0.050000,1.849453,5.253925,0.490000,1.400000,2.000000,0.000000,6.160821
0.050000,1.921337,5.244498,0.562500,1.500000,2.000000,0.000000,6.144876
0.050000,1.998006,5.233184,0.640000,1.600000,2.000000,-0.000000,6.128580
0.050000,2.079412,5.219802,0.722500,1.700000,2.000000,0.000000,6.112105
0.050000,2.163051,5.204655,0.807500,1.700000,0.000000,-40.000000,6.096092
0.050000,2.246444,5.188211,0.892500,1.700000,0.000000,0.000000,6.081071
0.050000,2.329590,5.170558,0.977500,1.700000,0.000000,0.000000,6.067052
0.050000,2.412490,5.151782,1.062500,1.700000,0.000000,0.000000,6.054043
0.050000,2.495149,5.131972,1.147500,1.700000,0.000000,0.000000,6.042048
0.050000,2.577575,5.111214,1.232500,1.700000,0.000000,0.000000,6.031069
0.050000,2.659779,5.089594,1.317500,1.700000,0.000000,0.000000,6.021104
0.050000,2.741774,5.067197,1.402500,1.700000,0.000000,0.000000,6.012151
0.050000,2.823578,5.044108,1.487500,1.700000,0.000000,0.000000,6.004206
0.050000,2.905208,5.020411,1.572500,1.700000,0.000000,0.000000,5.997265
0.050000,2.986684,4.996189,1.657500,1.700000,0.000000,0.000000,5.991324
0.050000,3.068026,4.971523,1.742500,1.700000,0.000000,0.000000,5.986377
0.050000,3.149258,4.946496,1.827500,1.700000,0.000000,0.000000,5.982422
0.050000,3.230403,4.921188,1.912500,1.700000,0.000000,0.000000,5.979454
0.050000,3.311485,4.895678,1.997500,1.700000,0.000000,0.000000,5.977470
0.050000,3.392529,4.870048,2.082500,1.700000,0.000000,0.000000,5.976468
0.050000,3.473559,4.844377,2.167500,1.700000,0.000000,0.000000,5.976448
0.050000,3.554602,4.818743,2.252500,1.700000,0.000000,0.000000,5.977410
0.050000,3.635682,4.793228,2.337500,1.700000,0.000000,0.000000,5.979354
