dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.365236,4.979813,0.002500,0.100000,2.000000,40.000000,0.000511
0.050000,1.370254,4.979809,0.007518,0.100363,0.007266,-39.854682,6.281628
0.050000,1.381707,4.979771,0.018971,0.229054,2.573808,51.330844,6.278193
0.050000,1.397747,4.979653,0.035011,0.320810,1.835120,-14.773762,6.273404
0.050000,1.418380,4.979388,0.055647,0.412705,1.837897,0.055546,6.267286
0.050000,1.443614,4.978893,0.080886,0.504785,1.841603,0.074119,6.259869
0.050000,1.473458,4.978067,0.110741,0.597106,1.846428,0.096495,6.251193
0.050000,1.507921,4.976793,0.145227,0.689726,1.852404,0.119514,6.241306
0.050000,1.547013,4.974938,0.184363,0.782714,1.859758,0.147086,6.230269
0.050000,1.590744,4.972355,0.228170,0.876139,1.868486,0.174563,6.218153
0.050000,1.639123,4.968884,0.276674,0.970081,1.878848,0.207234,6.205045
0.050000,1.692162,4.964356,0.329906,1.064629,1.890963,0.242294,6.191041
0.050000,1.749868,4.958591,0.387899,1.159865,1.904718,0.275104,6.176257
0.050000,1.812250,4.951404,0.450693,1.255888,1.920455,0.314737,6.160821
0.050000,1.879314,4.942609,0.518332,1.352783,1.937909,0.349080,6.144876
0.050000,1.951069,4.932019,0.590864,1.450643,1.957197,0.385772,6.128580
0.050000,2.027521,4.919452,0.668342,1.549552,1.978178,0.419623,6.112105
0.050000,2.106357,4.905174,0.748460,1.602368,1.056327,-18.437033,6.096092
0.050000,2.185258,4.889615,0.828881,1.608414,0.120909,-18.708354,6.081071
0.050000,2.264224,4.872849,0.909608,1.614528,0.122292,0.027654,6.067052
0.050000,2.343257,4.854949,0.990642,1.620687,0.123183,0.017817,6.054043
0.050000,2.422360,4.835991,1.071985,1.626871,0.123664,0.009637,6.042048
0.050000,2.501541,4.816050,1.153639,1.633061,0.123813,0.002978,6.031069
0.050000,2.580808,4.795202,1.235601,1.639246,0.123701,-0.002250,6.021104
0.050000,2.660171,4.773524,1.317872,1.645416,0.123394,-0.006140,6.012151
0.050000,2.739644,4.751093,1.400450,1.651564,0.122953,-0.008823,6.004206
0.050000,2.819242,4.727985,1.483334,1.657685,0.122431,-0.010433,5.997265
0.050000,2.898982,4.704279,1.566523,1.663779,0.121876,-0.011106,5.991324
0.050000,2.978881,4.680051,1.650015,1.669845,0.121327,-0.010973,5.986377
0.050000,3.058961,4.655378,1.733810,1.675886,0.120816,-0.010215,5.982422
0.050000,3.139242,4.630339,1.817905,1.681905,0.120378,-0.008763,5.979454
0.050000,3.219747,4.605011,1.902300,1.687907,0.120031,-0.006948,5.977470
0.050000,3.300500,4.579473,1.986995,1.693896,0.119787,-0.004885,5.976468
0.050000,3.381525,4.553804,2.071989,1.699879,0.119659,-0.002557,5.976448
0.050000,3.462847,4.528082,2.157282,1.705861,0.119653,-0.000121,5.977410
0.050000,3.544492,4.502388,2.242874,1.711850,0.119771,0.002359,5.979354
0.050000,3.626486,4.476805,2.328767,1.717850,0.120005,0.004693,5.982282
0.050000,3.708855,4.451413,2.414960,1.723867,0.120344,0.006765,5.986198
0.050000,3.791623,4.426297,2.501456,1.729906,0.120774,0.008601,5.991104
0.050000,3.874817,4.401542,2.588254,1.735970,0.121273,0.009990,5.997005
0.050000,3.958460,4.377236,2.675357,1.742060,0.121815,0.010831,6.003905
0.050000,4.042575,4.353466,2.762766,1.748179,0.122365,0.011001,6.011809
0.050000,4.127183,4.330322,2.850482,1.754323,0.122885,0.010408,6.020721
0.050000,4.212303,4.307899,2.938507,1.760489,0.123326,0.008812,6.030645
0.050000,4.297952,4.286288,3.026840,1.766671,0.123630,0.006089,6.041584
0.050000,4.384144,4.265588,3.115483,1.772858,0.123746,0.002322,6.053537
0.050000,4.470889,4.245894,3.204435,1.779038,0.123604,-0.002843,6.066505
0.050000,4.558192,4.227307,3.293695,1.785195,0.123132,-0.009449,6.080483
0.050000,4.646055,4.209927,3.383260,1.791307,0.122252,-0.017588,6.095464
0.050000,4.734473,4.193854,3.473128,1.797352,0.120886,-0.027318,6.111437
0.050000,4.821933,4.179426,3.561770,1.772843,-0.490167,-12.221062,6.128092
0.050000,4.905754,4.167033,3.646502,1.694638,-1.564106,-21.478775,6.144823
0.050000,4.984718,4.156693,3.726140,1.592759,-2.037590,-9.469698,6.161245
0.050000,5.058728,4.148218,3.800634,1.489878,-2.057605,-0.400293,6.177194
0.050000,5.127698,4.141412,3.869938,1.386090,-2.075774,-0.363373,6.192522
0.050000,5.191549,4.136074,3.934012,1.281484,-2.092110,-0.326723,6.207094
0.050000,5.250216,4.132003,3.992820,1.176157,-2.106552,-0.288854,6.220791
0.050000,5.303641,4.129005,4.046330,1.070194,-2.119245,-0.253845,6.233510
0.050000,5.351780,4.126893,4.094515,0.963693,-2.130024,-0.215575,6.245162
0.050000,5.394593,4.125489,4.137351,0.856725,-2.139354,-0.186606,6.255671
0.050000,5.432052,4.124632,4.174820,0.749375,-2.147017,-0.153265,6.264974
0.050000,5.464134,4.124176,4.206905,0.641706,-2.153366,-0.126977,6.273019
0.050000,5.490822,4.123995,4.233594,0.533779,-2.158542,-0.103519,6.279763
0.050000,5.512105,4.123980,4.254877,0.425657,-2.162442,-0.078006,0.001990
0.050000,5.527974,4.124043,4.270746,0.317376,-2.165626,-0.063679,0.006043
0.050000,5.538423,4.124120,4.281195,0.208991,-2.167700,-0.041485,0.008721
0.050000,5.543450,4.124167,4.286222,0.100534,-2.169137,-0.028727,0.010012
0.050000,5.544607,4.124179,4.287379,0.023148,-1.547715,12.428436,0.010309
0.050000,5.544607,4.124179,4.287379,0.000000,-0.462964,21.695011,0.010309
