dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.365058,5.528295,0.002500,0.100000,2.000000,40.000000,0.000071
0.050000,1.371689,5.528293,0.009130,0.132607,0.652136,-26.957287,6.282742
0.050000,1.384447,5.528282,0.021889,0.255170,2.451255,35.982391,6.281894
0.050000,1.402304,5.528249,0.039745,0.357125,2.039118,-8.242740,6.280725
0.050000,1.425252,5.528175,0.062694,0.458969,2.036879,-0.044777,6.279254
0.050000,1.453285,5.528040,0.090727,0.560669,2.034001,-0.057557,6.277503
0.050000,1.486394,5.527819,0.123837,0.662194,2.030487,-0.070298,6.275503
0.050000,1.524568,5.527483,0.162012,0.763510,2.026333,-0.083076,6.273287
0.050000,1.567795,5.527003,0.205242,0.864588,2.021545,-0.095758,6.270894
0.050000,1.616060,5.526348,0.253511,0.965394,2.016123,-0.108428,6.268368
0.050000,1.669348,5.525488,0.306806,1.065897,2.010069,-0.121096,6.265760
0.050000,1.727641,5.524394,0.365110,1.166067,2.003390,-0.133582,6.263125
0.050000,1.790920,5.523041,0.428403,1.265871,1.996081,-0.146172,6.260521
0.050000,1.859164,5.521407,0.496667,1.365279,1.988154,-0.158535,6.258015
0.050000,1.932352,5.519476,0.569880,1.464259,1.979603,-0.171027,6.255676
0.050000,2.010459,5.517242,0.648019,1.562780,1.970435,-0.183352,6.253579
0.050000,2.093461,5.514707,0.731060,1.660813,1.960645,-0.195811,6.251805
0.050000,2.178824,5.511967,0.816466,1.708131,0.946372,-20.285464,6.250472
0.050000,2.264031,5.509140,0.901720,1.705079,-0.061037,-20.148168,6.249638
0.050000,2.349084,5.506268,0.986822,1.702029,-0.061009,0.000551,6.249306
0.050000,2.433984,5.503394,1.071771,1.698979,-0.060999,0.000216,6.249473
0.050000,2.518733,5.500560,1.156567,1.695929,-0.061005,-0.000127,6.250141
0.050000,2.603332,5.497810,1.241211,1.692877,-0.061028,-0.000471,6.251309
0.050000,2.687783,5.495184,1.325702,1.689824,-0.061068,-0.000793,6.252979
0.050000,2.772085,5.492725,1.410040,1.686768,-0.061122,-0.001081,6.255149
0.050000,2.856240,5.490474,1.494226,1.683708,-0.061188,-0.001321,6.257822
0.050000,2.940249,5.488472,1.578258,1.680645,-0.061263,-0.001497,6.260996
0.050000,3.024110,5.486762,1.662137,1.677578,-0.061343,-0.001595,6.264674
0.050000,3.107824,5.485384,1.745862,1.674507,-0.061423,-0.001600,6.268856
0.050000,3.191390,5.484378,1.829434,1.671432,-0.061498,-0.001496,6.273542
0.050000,3.274805,5.483787,1.912852,1.668354,-0.061561,-0.001267,6.278733
0.050000,3.358069,5.483650,1.996115,1.665274,-0.061606,-0.000899,0.001244
