dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.365102,4.918695,0.002500,0.100000,2.000000,40.000000,0.000071
0.050000,1.371418,4.918693,0.008817,0.126339,0.526787,-29.464265,6.282742
0.050000,1.383660,4.918683,0.021058,0.244830,2.369821,36.860691,6.281894
0.050000,1.400804,4.918651,0.038202,0.342875,1.960882,-8.178782,6.280725
0.050000,1.422855,4.918580,0.060254,0.441031,1.963120,0.044756,6.279254
0.050000,1.449821,4.918450,0.087220,0.539330,1.965997,0.057534,6.277503
0.050000,1.481711,4.918237,0.119111,0.637806,1.969513,0.070323,6.275503
0.050000,1.518534,4.917913,0.155935,0.736489,1.973665,0.083035,6.273287
0.050000,1.560302,4.917449,0.197706,0.835412,1.978453,0.095777,6.270894
0.050000,1.607028,4.916815,0.244436,0.934606,1.983876,0.108452,6.268368
0.050000,1.658726,4.915981,0.296141,1.034102,1.989928,0.121029,6.265760
0.050000,1.715413,4.914917,0.352838,1.133933,1.996611,0.133671,6.263125
0.050000,1.777105,4.913598,0.414544,1.234128,2.003916,0.146097,6.260521
0.050000,1.843822,4.912000,0.481280,1.334721,2.011848,0.158636,6.258015
0.050000,1.915584,4.910107,0.553067,1.435741,2.020396,0.170970,6.255676
0.050000,1.992414,4.907910,0.629928,1.537219,2.029568,0.183435,6.253579
0.050000,2.074335,4.905408,0.711887,1.639187,2.039358,0.195806,6.251805
0.050000,2.158885,4.902693,0.796481,1.691869,1.053632,-19.714526,6.250472
0.050000,2.243584,4.899883,0.881227,1.694921,0.061040,-19.851842,6.249638
0.050000,2.328434,4.897018,0.966125,1.697971,0.061011,-0.000581,6.249306
0.050000,2.413437,4.894140,1.051176,1.701021,0.060999,-0.000243,6.249473
0.050000,2.498593,4.891293,1.136380,1.704071,0.061004,0.000104,6.250141
0.050000,2.583904,4.888519,1.221736,1.707122,0.061026,0.000442,6.251309
0.050000,2.669371,4.885862,1.307245,1.710176,0.061064,0.000763,6.252979
0.050000,2.754996,4.883364,1.392907,1.713232,0.061117,0.001051,6.255149
0.050000,2.840780,4.881070,1.478721,1.716291,0.061181,0.001290,6.257822
0.050000,2.926724,4.879022,1.564689,1.719353,0.061255,0.001467,6.260996
0.050000,3.012827,4.877266,1.650810,1.722420,0.061333,0.001565,6.264674
0.050000,3.099089,4.875846,1.737084,1.725491,0.061411,0.001570,6.268856
0.050000,3.185511,4.874807,1.823512,1.728565,0.061485,0.001466,6.273542
0.050000,3.272091,4.874193,1.910095,1.731642,0.061547,0.001239,6.278733
0.050000,3.358827,4.874050,1.996831,1.734722,0.061590,0.000872,0.001244
0.050000,3.445717,4.874424,2.083721,1.737802,0.061608,0.000360,0.007446
0.050000,3.532756,4.875361,2.170765,1.740882,0.061590,-0.000362,0.014152
0.050000,3.619940,4.876905,2.257963,1.743958,0.061529,-0.001228,0.021364
0.050000,3.707264,4.879105,2.345314,1.747029,0.061413,-0.002304,0.029079
