dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.385453,3.063998,0.002500,0.100000,2.000000,40.000000,6.237229
0.050000,1.391175,3.063743,0.010000,0.200000,2.000000,0.000000,6.239484
0.050000,1.403664,3.063220,0.022500,0.300000,2.000000,0.000000,6.243233
0.050000,1.421152,3.062567,0.040000,0.400000,2.000000,-0.000000,6.248462
0.050000,1.443641,3.061861,0.062500,0.500000,2.000000,0.000000,6.255152
0.050000,1.471133,3.061202,0.090000,0.600000,2.000000,-0.000000,6.263273
0.050000,1.503629,3.060710,0.122500,0.700000,2.000000,0.000000,6.272790
0.050000,1.541129,3.060524,0.160000,0.800000,2.000000,0.000000,0.000470
0.050000,1.583627,3.060803,0.202500,0.900000,2.000000,0.000000,0.012626
0.050000,1.631118,3.061721,0.250000,1.000000,2.000000,-0.000000,0.026000
0.050000,1.683589,3.063468,0.302500,1.100000,2.000000,0.000000,0.040506
0.050000,1.741021,3.066245,0.360000,1.200000,2.000000,-0.000000,0.056043
0.050000,1.803391,3.070261,0.422500,1.300000,2.000000,0.000000,0.072489
0.050000,1.870668,3.075732,0.490000,1.400000,2.000000,0.000000,0.089708
0.050000,1.942814,3.082875,0.562500,1.500000,2.000000,0.000000,0.107545
0.050000,2.019786,3.091903,0.640000,1.600000,2.000000,-0.000000,0.125824
0.050000,2.101532,3.103020,0.722500,1.700000,2.000000,0.000000,0.144357
0.050000,2.185532,3.116015,0.807500,1.700000,0.000000,-40.000000,0.162421
0.050000,2.269291,3.130479,0.892500,1.700000,0.000000,0.000000,0.179415
0.050000,2.352801,3.146320,0.977500,1.700000,0.000000,0.000000,0.195319
0.050000,2.436058,3.163441,1.062500,1.700000,0.000000,0.000000,0.210122
0.050000,2.519063,3.181746,1.147500,1.700000,0.000000,0.000000,0.223813
0.050000,2.601820,3.201141,1.232500,1.700000,0.000000,0.000000,0.236391
0.050000,2.684338,3.221528,1.317500,1.700000,0.000000,0.000000,0.247852
0.050000,2.766629,3.242814,1.402500,1.700000,0.000000,0.000000,0.258201
0.050000,2.848708,3.264905,1.487500,1.700000,0.000000,0.000000,0.267438
0.050000,2.930592,3.287708,1.572500,1.700000,0.000000,0.000000,0.275571
0.050000,3.012301,3.311131,1.657500,1.700000,0.000000,0.000000,0.282604
0.050000,3.093856,3.335083,1.742500,1.700000,0.000000,0.000000,0.288541
0.050000,3.175281,3.359475,1.827500,1.700000,0.000000,0.000000,0.293390
0.050000,3.256600,3.384218,1.912500,1.700000,0.000000,0.000000,0.297155
0.050000,3.337839,3.409222,1.997500,1.700000,0.000000,0.000000,0.299839
0.050000,3.419025,3.434401,2.082500,1.700000,0.000000,0.000000,0.301446
0.050000,3.500183,3.459666,2.167500,1.700000,0.000000,0.000000,0.301978
0.050000,3.581341,3.484931,2.252500,1.700000,0.000000,0.000000,0.301434
0.050000,3.662527,3.510108,2.337500,1.700000,0.000000,0.000000,0.299815
0.050000,3.743767,3.535110,2.422500,1.700000,0.000000,0.000000,0.297119
0.050000,3.825087,3.559849,2.507500,1.700000,0.000000,0.000000,0.293343
0.050000,3.906513,3.584237,2.592500,1.700000,0.000000,0.000000,0.288482
0.050000,3.988070,3.608184,2.677500,1.700000,0.000000,0.000000,0.282532
0.050000,4.069780,3.631601,2.762500,1.700000,0.000000,0.000000,0.275487
0.050000,4.151667,3.654396,2.847500,1.700000,0.000000,0.000000,0.267343
0.050000,4.233748,3.676479,2.932500,1.700000,0.000000,0.000000,0.258093
0.050000,4.316041,3.697756,3.017500,1.700000,0.000000,0.000000,0.247732
0.050000,4.398562,3.718133,3.102500,1.700000,0.000000,0.000000,0.236258
0.050000,4.481322,3.737515,3.187500,1.700000,0.000000,0.000000,0.223669
0.050000,4.564330,3.755808,3.272500,1.700000,0.000000,0.000000,0.209965
0.050000,4.647590,3.772915,3.357500,1.700000,0.000000,0.000000,0.195150
0.050000,4.731102,3.788741,3.442500,1.700000,0.000000,0.000000,0.179234
0.050000,4.812708,3.802837,3.525315,1.612582,-1.748358,-34.967158,0.162679
0.050000,4.889905,3.814858,3.603444,1.512582,-2.000000,-5.032842,0.146128
0.050000,4.962338,3.824921,3.676573,1.412582,-2.000000,0.000000,0.129834
0.050000,5.029960,3.833209,3.744702,1.312582,-2.000000,-0.000000,0.113974
0.050000,5.092732,3.839913,3.807831,1.212582,-2.000000,0.000000,0.098709
0.050000,5.150617,3.845223,3.865960,1.112582,-2.000000,0.000000,0.084186
0.050000,5.203587,3.849331,3.919089,1.012582,-2.000000,0.000000,0.070534
0.050000,5.251617,3.852420,3.967218,0.912582,-2.000000,-0.000000,0.057867
0.050000,5.294687,3.854665,4.010347,0.812582,-2.000000,0.000000,0.046283
0.050000,5.332784,3.856231,4.048476,0.712582,-2.000000,-0.000000,0.035866
0.050000,5.365896,3.857268,4.081606,0.612582,-2.000000,0.000000,0.026686
0.050000,5.394018,3.857908,4.109735,0.512582,-2.000000,0.000000,0.018800
0.050000,5.417145,3.858267,4.132864,0.412582,-2.000000,-0.000000,0.012256
0.050000,5.435273,3.858442,4.150993,0.312582,-2.000000,0.000000,0.007090
0.050000,5.448402,3.858511,4.164122,0.212582,-2.000000,-0.000000,0.003329
0.050000,5.456531,3.858528,4.172251,0.112582,-2.000000,0.000000,0.000992
0.050000,5.459660,3.858530,4.175380,0.012582,-2.000000,0.000000,0.000091
0.050000,5.459974,3.858530,4.175695,0.000000,-0.251642,34.967158,6.283185
0.050000,5.459974,3.858530,4.175695,0.000000,0.000000,5.032842,6.283185
