dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.385453,3.043626,0.002500,0.100000,2.000000,40.000000,6.231464
0.050000,1.390198,3.043372,0.010000,0.200000,2.000000,0.000000,6.229110
0.050000,1.402679,3.042672,0.022500,0.300000,2.000000,0.000000,6.225178
0.050000,1.420147,3.041609,0.040000,0.400000,2.000000,-0.000000,6.219652
0.050000,1.442595,3.040101,0.062500,0.500000,2.000000,0.000000,6.212514
0.050000,1.470018,3.038039,0.090000,0.600000,2.000000,-0.000000,6.203740
0.050000,1.502402,3.035291,0.122500,0.700000,2.000000,0.000000,6.193302
0.050000,1.539729,3.031698,0.160000,0.800000,2.000000,0.000000,6.181172
0.050000,1.581977,3.027078,0.202500,0.900000,2.000000,0.000000,6.167322
0.050000,1.629114,3.021220,0.250000,1.000000,2.000000,-0.000000,6.151723
0.050000,1.681098,3.013887,0.302500,1.100000,2.000000,0.000000,6.134356
0.050000,1.737878,3.004817,0.360000,1.200000,2.000000,-0.000000,6.115207
0.050000,1.799384,2.993724,0.422500,1.300000,2.000000,0.000000,6.094277
0.050000,1.865533,2.980298,0.490000,1.400000,2.000000,0.000000,6.071582
0.050000,1.936223,2.964207,0.562500,1.500000,2.000000,0.000000,6.047163
0.050000,2.011330,2.945104,0.640000,1.600000,2.000000,-0.000000,6.021087
0.050000,2.090707,2.922628,0.722500,1.700000,2.000000,0.000000,5.993456
0.050000,2.171810,2.897196,0.807500,1.700000,0.000000,-40.000000,5.965234
0.050000,2.252168,2.869499,0.892500,1.700000,0.000000,0.000000,5.937376
0.050000,2.331730,2.839593,0.977500,1.700000,0.000000,0.000000,5.909990
0.050000,2.410453,2.807542,1.062500,1.700000,0.000000,0.000000,5.883183
0.050000,2.488299,2.773417,1.147500,1.700000,0.000000,0.000000,5.857049
0.050000,2.565241,2.737299,1.232500,1.700000,0.000000,0.000000,5.831678
0.050000,2.641258,2.699272,1.317500,1.700000,0.000000,0.000000,5.807148
0.050000,2.716338,2.659425,1.402500,1.700000,0.000000,0.000000,5.783527
0.050000,2.790475,2.617851,1.487500,1.700000,0.000000,0.000000,5.760872
0.050000,2.863673,2.574646,1.572500,1.700000,0.000000,0.000000,5.739230
0.050000,2.935943,2.529904,1.657500,1.700000,0.000000,0.000000,5.718639
0.050000,3.007301,2.483723,1.742500,1.700000,0.000000,0.000000,5.699128
0.050000,3.077771,2.436196,1.827500,1.700000,0.000000,0.000000,5.680715
0.050000,3.147381,2.387418,1.912500,1.700000,0.000000,0.000000,5.663414
0.050000,3.216165,2.337482,1.997500,1.700000,0.000000,0.000000,5.647231
0.050000,3.284160,2.286477,2.082500,1.700000,0.000000,0.000000,5.632169
0.050000,3.351409,2.234491,2.167500,1.700000,0.000000,0.000000,5.618223
0.050000,3.417956,2.181610,2.252500,1.700000,0.000000,0.000000,5.605389
0.050000,3.483848,2.127915,2.337500,1.700000,0.000000,0.000000,5.593656
0.050000,3.549135,2.073487,2.422500,1.700000,0.000000,0.000000,5.583015
0.050000,3.613870,2.018401,2.507500,1.700000,0.000000,0.000000,5.573455
0.050000,3.678105,1.962734,2.592500,1.700000,0.000000,0.000000,5.564964
0.050000,3.741894,1.906557,2.677500,1.700000,0.000000,0.000000,5.557530
0.050000,3.805294,1.849941,2.762500,1.700000,0.000000,0.000000,5.551142
0.050000,3.868361,1.792953,2.847500,1.700000,0.000000,0.000000,5.545790
0.050000,3.931151,1.735661,2.932500,1.700000,0.000000,0.000000,5.541465
0.050000,3.993723,1.678130,3.017500,1.700000,0.000000,0.000000,5.538160
0.050000,4.056133,1.620424,3.102500,1.700000,0.000000,0.000000,5.535868
0.050000,4.118440,1.562607,3.187500,1.700000,0.000000,0.000000,5.534585
0.050000,4.180701,1.504741,3.272500,1.700000,0.000000,0.000000,5.534309
0.050000,4.242976,1.446889,3.357500,1.700000,0.000000,0.000000,5.535039
0.050000,4.305322,1.389114,3.442500,1.700000,0.000000,0.000000,5.536777
0.050000,4.367798,1.331479,3.527500,1.700000,0.000000,0.000000,5.539526
0.050000,4.430461,1.274048,3.612500,1.700000,0.000000,0.000000,5.543291
0.050000,4.493369,1.216885,3.697500,1.700000,0.000000,0.000000,5.548078
0.050000,4.556579,1.160056,3.782500,1.700000,0.000000,0.000000,5.553896
0.050000,4.620148,1.103630,3.867500,1.700000,0.000000,0.000000,5.560755
0.050000,4.684132,1.047674,3.952500,1.700000,0.000000,0.000000,5.568665
0.050000,4.746795,0.993786,4.035147,1.605888,-1.882230,-37.644601,5.577374
0.050000,4.806229,0.943591,4.112942,1.505888,-2.000000,-2.355399,5.586500
0.050000,4.862275,0.897139,4.185736,1.405888,-2.000000,0.000000,5.595861
0.050000,4.914876,0.854370,4.253530,1.305888,-2.000000,0.000000,5.605301
0.050000,4.963968,0.815216,4.316325,1.205888,-2.000000,0.000000,5.614671
0.050000,5.009484,0.779600,4.374119,1.105888,-2.000000,-0.000000,5.623828
0.050000,5.051353,0.747441,4.426914,1.005888,-2.000000,0.000000,5.632644
0.050000,5.089505,0.718654,4.474708,0.905888,-2.000000,-0.000000,5.640996
0.050000,5.123873,0.693155,4.517503,0.805888,-2.000000,0.000000,5.648775
0.050000,5.154392,0.670862,4.555297,0.705888,-2.000000,-0.000000,5.655881
0.050000,5.181004,0.651697,4.588091,0.605888,-2.000000,0.000000,5.662227
0.050000,5.203654,0.635587,4.615886,0.505888,-2.000000,0.000000,5.667735
0.050000,5.222296,0.622470,4.638680,0.405888,-2.000000,-0.000000,5.672342
0.050000,5.236891,0.612291,4.656475,0.305888,-2.000000,0.000000,5.675994
0.050000,5.247408,0.605005,4.669269,0.205888,-2.000000,-0.000000,5.678650
0.050000,5.253825,0.600580,4.677064,0.105888,-2.000000,0.000000,5.680280
0.050000,5.256127,0.598996,4.679858,0.005888,-2.000000,0.000000,5.680867
0.050000,5.256248,0.598912,4.680005,0.000000,-0.117770,37.644601,5.680898
0.050000,5.256248,0.598912,4.680005,0.000000,0.000000,2.355399,5.680898
