dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.365080,4.103001,0.002500,0.100000,2.000000,40.000000,6.176268
0.050000,1.370940,4.102375,0.010000,0.200000,2.000000,0.000000,6.177116
0.050000,1.383371,4.101061,0.022500,0.300000,2.000000,0.000000,6.178521
0.050000,1.400777,4.099249,0.040000,0.400000,2.000000,-0.000000,6.180471
0.050000,1.423161,4.096970,0.062500,0.500000,2.000000,0.000000,6.182949
0.050000,1.450527,4.094259,0.090000,0.600000,2.000000,-0.000000,6.185934
0.050000,1.482879,4.091160,0.122500,0.700000,2.000000,0.000000,6.189398
0.050000,1.520221,4.087721,0.160000,0.800000,2.000000,0.000000,6.193310
0.050000,1.562557,4.083999,0.202500,0.900000,2.000000,0.000000,6.197633
0.050000,1.609893,4.080052,0.250000,1.000000,2.000000,-0.000000,6.202325
0.050000,1.662232,4.075943,0.302500,1.100000,2.000000,0.000000,6.207338
0.050000,1.719578,4.071738,0.360000,1.200000,2.000000,-0.000000,6.212621
0.050000,1.781934,4.067504,0.422500,1.300000,2.000000,0.000000,6.218116
0.050000,1.849304,4.063307,0.490000,1.400000,2.000000,0.000000,6.223760
0.050000,1.921688,4.059211,0.562500,1.500000,2.000000,0.000000,6.229486
0.050000,1.999088,4.055276,0.640000,1.600000,2.000000,-0.000000,6.235222
0.050000,2.081504,4.051557,0.722500,1.700000,2.000000,0.000000,6.240889
0.050000,2.166437,4.048194,0.807500,1.700000,0.000000,-40.000000,6.246255
0.050000,2.251386,4.045267,0.892500,1.700000,0.000000,0.000000,6.251142
0.050000,2.336349,4.042734,0.977500,1.700000,0.000000,0.000000,6.255549
0.050000,2.421321,4.040555,1.062500,1.700000,0.000000,0.000000,6.259476
0.050000,2.506300,4.038690,1.147500,1.700000,0.000000,0.000000,6.262925
0.050000,2.591285,4.037098,1.232500,1.700000,0.000000,0.000000,6.265895
0.050000,2.676274,4.035737,1.317500,1.700000,0.000000,0.000000,6.268387
0.050000,2.761266,4.034569,1.402500,1.700000,0.000000,0.000000,6.270402
0.050000,2.846260,4.033551,1.487500,1.700000,0.000000,0.000000,6.271941
0.050000,2.931255,4.032644,1.572500,1.700000,0.000000,0.000000,6.273002
0.050000,3.016251,4.031806,1.657500,1.700000,0.000000,0.000000,6.273587
0.050000,3.101247,4.030998,1.742500,1.700000,0.000000,0.000000,6.273696
0.050000,3.186243,4.030180,1.827500,1.700000,0.000000,0.000000,6.273329
0.050000,3.271239,4.029309,1.912500,1.700000,0.000000,0.000000,6.272486
0.050000,3.356234,4.028347,1.997500,1.700000,0.000000,0.000000,6.271166
0.050000,3.441226,4.027253,2.082500,1.700000,0.000000,0.000000,6.269369
0.050000,3.526217,4.025985,2.167500,1.700000,0.000000,0.000000,6.267095
0.050000,3.611204,4.024504,2.252500,1.700000,0.000000,0.000000,6.264343
0.050000,3.696186,4.022768,2.337500,1.700000,0.000000,0.000000,6.261114
0.050000,3.781162,4.020738,2.422500,1.700000,0.000000,0.000000,6.257405
0.050000,3.866129,4.018373,2.507500,1.700000,0.000000,0.000000,6.253218
0.050000,3.951085,4.015631,2.592500,1.700000,0.000000,0.000000,6.248551
0.050000,4.036026,4.012473,2.677500,1.700000,0.000000,0.000000,6.243405
0.050000,4.120949,4.008857,2.762500,1.700000,0.000000,0.000000,6.237778
0.050000,4.205849,4.004743,2.847500,1.700000,0.000000,0.000000,6.231672
0.050000,4.290722,4.000090,2.932500,1.700000,0.000000,0.000000,6.225086
0.050000,4.375560,3.994858,3.017500,1.700000,0.000000,0.000000,6.218021
0.050000,4.460358,3.989006,3.102500,1.700000,0.000000,0.000000,6.210479
0.050000,4.545108,3.982495,3.187500,1.700000,0.000000,0.000000,6.202461
0.050000,4.629802,3.975285,3.272500,1.700000,0.000000,0.000000,6.193969
0.050000,4.714429,3.967336,3.357500,1.700000,0.000000,0.000000,6.185006
0.050000,4.797408,3.958778,3.440919,1.636769,-1.264617,-25.292350,6.175755
0.050000,4.876249,3.949910,3.520258,1.536769,-2.000000,-14.707650,6.166543
0.050000,4.950042,3.940929,3.594596,1.436769,-2.000000,0.000000,6.157550
0.050000,5.018796,3.931943,3.663935,1.336769,-2.000000,0.000000,6.148849
0.050000,5.082518,3.923062,3.728273,1.236769,-2.000000,-0.000000,6.140510
0.050000,5.141220,3.914393,3.787612,1.136769,-2.000000,0.000000,6.132595
0.050000,5.194913,3.906042,3.841950,1.036769,-2.000000,0.000000,6.125160
0.050000,5.243609,3.898111,3.891288,0.936769,-2.000000,0.000000,6.118259
0.050000,5.287323,3.890693,3.935627,0.836769,-2.000000,-0.000000,6.111935
0.050000,5.326067,3.883879,3.974965,0.736769,-2.000000,0.000000,6.106229
0.050000,5.359853,3.877749,4.009304,0.636769,-2.000000,-0.000000,6.101177
0.050000,5.388696,3.872376,4.038642,0.536769,-2.000000,-0.000000,6.096808
0.050000,5.412604,3.867822,4.062981,0.436769,-2.000000,0.000000,6.093147
0.050000,5.431589,3.864142,4.082319,0.336769,-2.000000,0.000000,6.090215
0.050000,5.445659,3.861376,4.096658,0.236769,-2.000000,0.000000,6.088028
0.050000,5.454818,3.859559,4.105996,0.136769,-2.000000,-0.000000,6.086597
0.050000,5.459073,3.858710,4.110335,0.036769,-2.000000,0.000000,6.085931
0.050000,5.459974,3.858530,4.111254,0.000000,-0.735383,25.292350,6.085790
0.050000,5.459974,3.858530,4.111254,0.000000,0.000000,14.707650,6.085790
