dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.385453,4.143747,0.002500,0.100000,2.000000,40.000000,6.283056
0.050000,1.391285,4.143748,0.010000,0.200000,2.000000,0.000000,0.000451
0.050000,1.403785,4.143759,0.022500,0.300000,2.000000,0.000000,0.001413
0.050000,1.421284,4.143796,0.040000,0.400000,2.000000,-0.000000,0.002750
0.050000,1.443784,4.143877,0.062500,0.500000,2.000000,0.000000,0.004453
0.050000,1.471284,4.144028,0.090000,0.600000,2.000000,-0.000000,0.006509
0.050000,1.503783,4.144278,0.122500,0.700000,2.000000,0.000000,0.008904
0.050000,1.541281,4.144663,0.160000,0.800000,2.000000,0.000000,0.011620
0.050000,1.583777,4.145221,0.202500,0.900000,2.000000,0.000000,0.014635
0.050000,1.631271,4.145995,0.250000,1.000000,2.000000,-0.000000,0.017927
0.050000,1.683761,4.147030,0.302500,1.100000,2.000000,0.000000,0.021469
0.050000,1.741245,4.148373,0.360000,1.200000,2.000000,-0.000000,0.025231
0.050000,1.803722,4.150074,0.422500,1.300000,2.000000,0.000000,0.029182
0.050000,1.871189,4.152183,0.490000,1.400000,2.000000,0.000000,0.033287
0.050000,1.943643,4.154750,0.562500,1.500000,2.000000,0.000000,0.037508
0.050000,2.021082,4.157823,0.640000,1.600000,2.000000,-0.000000,0.041803
0.050000,2.103502,4.161451,0.722500,1.700000,2.000000,0.000000,0.046130
0.050000,2.188403,4.165551,0.807500,1.700000,0.000000,-40.000000,0.050323
0.050000,2.273287,4.169995,0.892500,1.700000,0.000000,0.000000,0.054246
0.050000,2.358153,4.174760,0.977500,1.700000,0.000000,0.000000,0.057899
0.050000,2.443002,4.179825,1.062500,1.700000,0.000000,0.000000,0.061282
0.050000,2.527834,4.185164,1.147500,1.700000,0.000000,0.000000,0.064395
0.050000,2.612650,4.190756,1.232500,1.700000,0.000000,0.000000,0.067238
0.050000,2.697451,4.196578,1.317500,1.700000,0.000000,0.000000,0.069810
0.050000,2.782236,4.202607,1.402500,1.700000,0.000000,0.000000,0.072113
0.050000,2.867009,4.208819,1.487500,1.700000,0.000000,0.000000,0.074146
0.050000,2.951770,4.215193,1.572500,1.700000,0.000000,0.000000,0.075909
0.050000,3.036520,4.221704,1.657500,1.700000,0.000000,0.000000,0.077402
0.050000,3.121261,4.228330,1.742500,1.700000,0.000000,0.000000,0.078626
0.050000,3.205995,4.235049,1.827500,1.700000,0.000000,0.000000,0.079579
0.050000,3.290724,4.241837,1.912500,1.700000,0.000000,0.000000,0.080264
0.050000,3.375449,4.248671,1.997500,1.700000,0.000000,0.000000,0.080678
0.050000,3.460172,4.255530,2.082500,1.700000,0.000000,0.000000,0.080823
0.050000,3.544894,4.262389,2.167500,1.700000,0.000000,0.000000,0.080699
0.050000,3.629619,4.269226,2.252500,1.700000,0.000000,0.000000,0.080305
0.050000,3.714347,4.276018,2.337500,1.700000,0.000000,0.000000,0.079642
0.050000,3.799081,4.282743,2.422500,1.700000,0.000000,0.000000,0.078709
0.050000,3.883821,4.289378,2.507500,1.700000,0.000000,0.000000,0.077507
0.050000,3.968571,4.295899,2.592500,1.700000,0.000000,0.000000,0.076034
0.050000,4.053331,4.302283,2.677500,1.700000,0.000000,0.000000,0.074292
0.050000,4.138102,4.308509,2.762500,1.700000,0.000000,0.000000,0.072281
0.050000,4.222887,4.314553,2.847500,1.700000,0.000000,0.000000,0.069999
0.050000,4.307687,4.320391,2.932500,1.700000,0.000000,0.000000,0.067447
0.050000,4.392501,4.326002,3.017500,1.700000,0.000000,0.000000,0.064625
0.050000,4.477332,4.331362,3.102500,1.700000,0.000000,0.000000,0.061533
0.050000,4.562180,4.336449,3.187500,1.700000,0.000000,0.000000,0.058171
0.050000,4.647044,4.341238,3.272500,1.700000,0.000000,0.000000,0.054539
0.050000,4.731927,4.345708,3.357500,1.700000,0.000000,0.000000,0.050637
0.050000,4.816826,4.349835,3.442500,1.700000,0.000000,0.000000,0.046465
0.050000,4.899317,4.353494,3.525071,1.602856,-1.942879,-38.857573,0.042155
0.050000,4.976897,4.356602,3.602714,1.502856,-2.000000,-1.142427,0.037870
0.050000,5.049493,4.359200,3.675357,1.402856,-2.000000,0.000000,0.033658
0.050000,5.117102,4.361339,3.743000,1.302856,-2.000000,-0.000000,0.029560
0.050000,5.179721,4.363068,3.805643,1.202856,-2.000000,0.000000,0.025614
0.050000,5.237348,4.364436,3.863285,1.102856,-2.000000,-0.000000,0.021854
0.050000,5.289980,4.365494,3.915928,1.002856,-2.000000,0.000000,0.018314
0.050000,5.337616,4.366288,3.963571,0.902856,-2.000000,-0.000000,0.015022
0.050000,5.380255,4.366865,4.006214,0.802856,-2.000000,0.000000,0.012005
0.050000,5.417896,4.367266,4.043857,0.702856,-2.000000,-0.000000,0.009287
0.050000,5.450537,4.367530,4.076499,0.602856,-2.000000,0.000000,0.006888
0.050000,5.478180,4.367692,4.104142,0.502856,-2.000000,-0.000000,0.004825
0.050000,5.500822,4.367782,4.126785,0.402856,-2.000000,0.000000,0.003116
0.050000,5.518465,4.367825,4.144428,0.302856,-2.000000,0.000000,0.001771
0.050000,5.531108,4.367841,4.157071,0.202856,-2.000000,-0.000000,0.000800
0.050000,5.538751,4.367845,4.164713,0.102856,-2.000000,0.000000,0.000210
0.050000,5.541394,4.367845,4.167356,0.002856,-2.000000,0.000000,0.000006
0.050000,5.541465,4.367845,4.167428,0.000000,-0.057121,38.857573,0.000000
0.050000,5.541465,4.367845,4.167428,0.000000,0.000000,1.142427,0.000000
