dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.385453,4.164119,0.002500,0.100000,2.000000,40.000000,0.001362
0.050000,1.388387,4.164118,0.010000,0.200000,2.000000,0.000000,6.282309
0.050000,1.400886,4.164083,0.022500,0.300000,2.000000,0.000000,6.278559
0.050000,1.418386,4.163956,0.040000,0.400000,2.000000,-0.000000,6.273261
0.050000,1.440883,4.163656,0.062500,0.500000,2.000000,0.000000,6.266366
0.050000,1.468377,4.163076,0.090000,0.600000,2.000000,-0.000000,6.257811
0.050000,1.500863,4.162084,0.122500,0.700000,2.000000,0.000000,6.247517
0.050000,1.538329,4.160521,0.160000,0.800000,2.000000,0.000000,6.235391
0.050000,1.580765,4.158193,0.202500,0.900000,2.000000,0.000000,6.221321
0.050000,1.628149,4.154876,0.250000,1.000000,2.000000,-0.000000,6.205182
0.050000,1.680449,4.150307,0.302500,1.100000,2.000000,0.000000,6.186831
0.050000,1.737621,4.144186,0.360000,1.200000,2.000000,-0.000000,6.166113
0.050000,1.799603,4.136168,0.422500,1.300000,2.000000,0.000000,6.142859
0.050000,1.866309,4.125866,0.490000,1.400000,2.000000,0.000000,6.116895
0.050000,1.937627,4.112842,0.562500,1.500000,2.000000,0.000000,6.088047
0.050000,2.013406,4.096611,0.640000,1.600000,2.000000,-0.000000,6.056150
0.050000,2.093448,4.076642,0.722500,1.700000,2.000000,0.000000,6.021071
0.050000,2.175118,4.053101,0.807500,1.700000,0.000000,-40.000000,5.983831
0.050000,2.255841,4.026495,0.892500,1.700000,0.000000,0.000000,5.945634
0.050000,2.335477,3.996794,0.977500,1.700000,0.000000,0.000000,5.906668
0.050000,2.413886,3.963991,1.062500,1.700000,0.000000,0.000000,5.867158
0.050000,2.490932,3.928102,1.147500,1.700000,0.000000,0.000000,5.827351
0.050000,2.566487,3.889174,1.232500,1.700000,0.000000,0.000000,5.787512
0.050000,2.640436,3.847274,1.317500,1.700000,0.000000,0.000000,5.747917
0.050000,2.712679,3.802497,1.402500,1.700000,0.000000,0.000000,5.708840
0.050000,2.783135,3.754957,1.487500,1.700000,0.000000,0.000000,5.670543
0.050000,2.851745,3.704788,1.572500,1.700000,0.000000,0.000000,5.633270
0.050000,2.918469,3.652138,1.657500,1.700000,0.000000,0.000000,5.597237
0.050000,2.983292,3.597163,1.742500,1.700000,0.000000,0.000000,5.562627
0.050000,3.046218,3.540026,1.827500,1.700000,0.000000,0.000000,5.529591
0.050000,3.107273,3.480893,1.912500,1.700000,0.000000,0.000000,5.498243
0.050000,3.166498,3.419927,1.997500,1.700000,0.000000,0.000000,5.468664
0.050000,3.223951,3.357288,2.082500,1.700000,0.000000,0.000000,5.440908
0.050000,3.279704,3.293130,2.167500,1.700000,0.000000,0.000000,5.415001
0.050000,3.333836,3.227599,2.252500,1.700000,0.000000,0.000000,5.390946
0.050000,3.386439,3.160833,2.337500,1.700000,0.000000,0.000000,5.368731
0.050000,3.437607,3.092961,2.422500,1.700000,0.000000,0.000000,5.348330
0.050000,3.487442,3.024104,2.507500,1.700000,0.000000,0.000000,5.329707
0.050000,3.536047,2.954373,2.592500,1.700000,0.000000,0.000000,5.312823
0.050000,3.583527,2.883872,2.677500,1.700000,0.000000,0.000000,5.297631
0.050000,3.629990,2.812696,2.762500,1.700000,0.000000,0.000000,5.284087
0.050000,3.675543,2.740933,2.847500,1.700000,0.000000,0.000000,5.272146
0.050000,3.720293,2.668667,2.932500,1.700000,0.000000,0.000000,5.261765
0.050000,3.764345,2.595973,3.017500,1.700000,0.000000,0.000000,5.252905
0.050000,3.807806,2.522925,3.102500,1.700000,0.000000,0.000000,5.245532
0.050000,3.850781,2.449589,3.187500,1.700000,0.000000,0.000000,5.239616
0.050000,3.893374,2.376031,3.272500,1.700000,0.000000,0.000000,5.235131
0.050000,3.935690,2.302312,3.357500,1.700000,0.000000,0.000000,5.232059
0.050000,3.977830,2.228493,3.442500,1.700000,0.000000,0.000000,5.230387
0.050000,4.019898,2.154634,3.527500,1.700000,0.000000,0.000000,5.230106
0.050000,4.061997,2.080791,3.612500,1.700000,0.000000,0.000000,5.231217
0.050000,4.104229,2.007025,3.697500,1.700000,0.000000,0.000000,5.233724
0.050000,4.146698,1.933395,3.782500,1.700000,0.000000,0.000000,5.237638
0.050000,4.189506,1.859962,3.867500,1.700000,0.000000,0.000000,5.242975
0.050000,4.232759,1.786790,3.952500,1.700000,0.000000,0.000000,5.249758
0.050000,4.276561,1.713945,4.037500,1.700000,0.000000,0.000000,5.258015
0.050000,4.321017,1.641497,4.122500,1.700000,0.000000,0.000000,5.267779
0.050000,4.366233,1.569522,4.207500,1.700000,0.000000,0.000000,5.279086
0.050000,4.412316,1.498100,4.292500,1.700000,0.000000,0.000000,5.291979
0.050000,4.459374,1.427315,4.377500,1.700000,0.000000,0.000000,5.306502
0.050000,4.507514,1.357262,4.462500,1.700000,0.000000,0.000000,5.322699
0.050000,4.556840,1.288040,4.547500,1.700000,0.000000,0.000000,5.340616
0.050000,4.607459,1.219757,4.632500,1.700000,0.000000,0.000000,5.360296
0.050000,4.659472,1.152531,4.717500,1.700000,0.000000,0.000000,5.381776
0.050000,4.711504,1.088262,4.800193,1.607717,-1.845668,-36.913351,5.404431
0.050000,4.761879,1.028863,4.878079,1.507717,-2.000000,-3.086649,5.427368
0.050000,4.810283,0.974372,4.950965,1.407717,-2.000000,-0.000000,5.450243
0.050000,4.856506,0.924657,5.018850,1.307717,-2.000000,0.000000,5.472767
0.050000,4.900339,0.879566,5.081736,1.207717,-2.000000,0.000000,5.494668
0.050000,4.941568,0.838936,5.139622,1.107717,-2.000000,0.000000,5.515688
0.050000,4.979988,0.802595,5.192508,1.007717,-2.000000,-0.000000,5.535594
0.050000,5.015403,0.770365,5.240394,0.907717,-2.000000,0.000000,5.554177
0.050000,5.047631,0.742071,5.283280,0.807717,-2.000000,0.000000,5.571253
0.050000,5.076503,0.717541,5.321165,0.707717,-2.000000,-0.000000,5.586666
0.050000,5.101872,0.696615,5.354051,0.607717,-2.000000,0.000000,5.600282
0.050000,5.123606,0.679145,5.381937,0.507717,-2.000000,-0.000000,5.611994
0.050000,5.141596,0.664999,5.404823,0.407717,-2.000000,0.000000,5.621715
0.050000,5.155752,0.654066,5.422709,0.307717,-2.000000,-0.000000,5.629379
0.050000,5.166002,0.646257,5.435595,0.207717,-2.000000,0.000000,5.634934
0.050000,5.172296,0.641507,5.443480,0.107717,-2.000000,-0.000000,5.638348
0.050000,5.174604,0.639773,5.446366,0.007717,-2.000000,0.000000,5.639600
0.050000,5.174758,0.639658,5.446559,0.000000,-0.154332,36.913351,5.639684
0.050000,5.174758,0.639658,5.446559,0.000000,0.000000,3.086649,5.639684
