dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.436211,4.103809,0.002500,0.100000,2.000000,40.000000,3.130479
0.050000,5.426840,4.103942,0.011872,0.187444,1.748878,-5.022434,3.124337
0.050000,5.411179,4.104294,0.027536,0.313282,2.516752,15.357474,3.113956
0.050000,5.389171,4.105065,0.049558,0.440437,2.543109,0.527140,3.099120
0.050000,5.360738,4.106551,0.078030,0.569437,2.580002,0.737861,3.079527
0.050000,5.325795,4.109155,0.113069,0.700790,2.627051,0.940984,3.054787
0.050000,5.284263,4.113402,0.154818,0.834972,2.683648,1.131932,3.024438
0.050000,5.236094,4.119959,0.203432,0.972272,2.745999,1.247029,2.987968
0.050000,5.181311,4.129649,0.259065,1.112664,2.807848,1.236980,2.944866
0.050000,5.120065,4.143453,0.321848,1.255654,2.859788,1.038797,2.894704
0.050000,5.052710,4.162493,0.391841,1.399879,2.884497,0.494174,2.837277
0.050000,4.979893,4.187963,0.468985,1.542864,2.859701,-0.495915,2.772787
0.050000,4.902622,4.221014,0.553028,1.680863,2.759990,-1.994231,2.702049
0.050000,4.822277,4.262574,0.643485,1.809141,2.565565,-3.888497,2.626660
0.050000,4.740516,4.313158,0.739629,1.922876,2.274691,-5.817464,2.549009
0.050000,4.659055,4.372741,0.840554,2.018513,1.912743,-7.238975,2.472072
0.050000,4.579394,4.440756,0.945301,2.094937,1.528473,-7.685396,2.399007
0.050000,4.504669,4.514035,1.049961,2.093205,-0.034635,-31.262161,2.334445
0.050000,4.436683,4.589064,1.151210,2.024979,-1.364515,-26.597605,2.281095
0.050000,4.374483,4.664684,1.249125,1.958285,-1.333889,0.612533,2.238701
0.050000,4.317060,4.740038,1.343865,1.894807,-1.269560,1.286573,2.206732
0.050000,4.263447,4.814483,1.435606,1.834813,-1.199879,1.393619,2.184611
0.050000,4.212768,4.887505,1.524491,1.777703,-1.142189,1.153806,2.171862
0.050000,4.164248,4.958657,1.610611,1.722411,-1.105838,0.727012,2.168185
0.050000,4.117216,5.027509,1.693994,1.667657,-1.095099,0.214794,2.173491
0.050000,4.071100,5.093619,1.774599,1.612101,-1.111106,-0.320148,2.187908
0.050000,4.025425,5.156507,1.852324,1.554488,-1.152269,-0.823261,2.211772
0.050000,3.979814,5.215653,1.927014,1.493808,-1.213605,-1.226709,2.245584
0.050000,3.933991,5.270512,1.998493,1.429576,-1.284623,-1.420372,2.289926
0.050000,3.887779,5.320551,2.066606,1.362273,-1.346070,-1.228945,2.345299
0.050000,3.841074,5.365319,2.131302,1.293903,-1.367391,-0.426419,2.411876
0.050000,3.793787,5.404525,2.192728,1.228533,-1.307409,1.199648,2.489167
0.050000,3.729861,5.452931,2.272914,1.603704,7.503424,176.216660,2.490613
0.050000,3.660922,5.505788,2.359784,1.737402,2.673951,-96.589456,2.484477
0.050000,3.592490,5.558880,2.446396,1.732258,-0.102875,-55.536528,2.479185
0.050000,3.524517,5.612148,2.532755,1.727166,-0.101828,0.020951,2.474729
0.050000,3.456958,5.665534,2.618861,1.722119,-0.100957,0.017406,2.471100
0.050000,3.389768,5.718981,2.704716,1.717108,-0.100213,0.014877,2.468293
0.050000,3.322900,5.772433,2.790322,1.712127,-0.099620,0.011878,2.466304
0.050000,3.256311,5.825836,2.875681,1.707167,-0.099206,0.008279,2.465129
0.050000,3.189955,5.879136,2.960792,1.702219,-0.098954,0.005039,2.464765
0.050000,3.123790,5.932278,3.045656,1.697275,-0.098876,0.001555,2.465212
0.050000,3.057773,5.985208,3.130272,1.692326,-0.098977,-0.002018,2.466470
0.050000,2.991862,6.037874,3.214640,1.687364,-0.099241,-0.005291,2.468543
0.050000,2.926015,6.090221,3.298759,1.682380,-0.099693,-0.009029,2.471434
0.050000,2.860193,6.142195,3.382627,1.677365,-0.100300,-0.012145,2.475147
0.050000,2.794355,6.193741,3.466243,1.672312,-0.101044,-0.014876,2.479688
0.050000,2.728464,6.244804,3.549604,1.667214,-0.101975,-0.018614,2.485066
0.050000,2.662483,6.295327,3.632707,1.662064,-0.102995,-0.020403,2.491289
0.050000,2.596375,6.345254,3.715550,1.656857,-0.104141,-0.022931,2.498366
0.050000,2.530106,6.394526,3.798129,1.651587,-0.105395,-0.025083,2.506307
0.050000,2.463641,6.443083,3.880442,1.646254,-0.106659,-0.025275,2.515122
0.050000,2.396949,6.490866,3.962484,1.640853,-0.108031,-0.027447,2.524824
0.050000,2.330000,6.537813,4.044254,1.635387,-0.109309,-0.025548,2.535422
