dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.439598,4.408590,0.002500,0.100000,2.000000,40.000000,3.130479
0.050000,5.432099,4.408697,0.010000,0.200000,2.000000,0.000000,3.124337
0.050000,5.419602,4.408977,0.022500,0.300000,2.000000,0.000000,3.113956
0.050000,5.402113,4.409590,0.040000,0.400000,2.000000,-0.000000,3.099120
0.050000,5.379644,4.410764,0.062500,0.500000,2.000000,0.000000,3.079527
0.050000,5.352221,4.412807,0.090000,0.600000,2.000000,-0.000000,3.054787
0.050000,5.319891,4.416113,0.122500,0.700000,2.000000,0.000000,3.024438
0.050000,5.282735,4.421169,0.160000,0.800000,2.000000,0.000000,2.987968
0.050000,5.240887,4.428569,0.202500,0.900000,2.000000,0.000000,2.944866
0.050000,5.194554,4.439011,0.250000,1.000000,2.000000,-0.000000,2.894704
0.050000,5.144041,4.453288,0.302500,1.100000,2.000000,0.000000,2.837277
0.050000,5.089774,4.472268,0.360000,1.200000,2.000000,-0.000000,2.772787
0.050000,5.032322,4.496842,0.422500,1.300000,2.000000,0.000000,2.702049
0.050000,4.972384,4.527849,0.490000,1.400000,2.000000,0.000000,2.626660
0.050000,4.910748,4.565989,0.562500,1.500000,2.000000,0.000000,2.549009
0.050000,4.848217,4.611741,0.640000,1.600000,2.000000,-0.000000,2.472072
0.050000,4.785499,4.665309,0.722500,1.700000,2.000000,0.000000,2.399007
0.050000,4.724831,4.724823,0.807500,1.700000,0.000000,-40.000000,2.334445
0.050000,4.667772,4.787812,0.892500,1.700000,0.000000,0.000000,2.281095
0.050000,4.613788,4.853459,0.977500,1.700000,0.000000,0.000000,2.238701
0.050000,4.562277,4.921068,1.062500,1.700000,0.000000,0.000000,2.206732
0.050000,4.512608,4.990045,1.147500,1.700000,0.000000,0.000000,2.184611
0.050000,4.464147,5.059876,1.232500,1.700000,0.000000,0.000000,2.171862
0.050000,4.416259,5.130102,1.317500,1.700000,0.000000,0.000000,2.168185
0.050000,4.368314,5.200290,1.402500,1.700000,0.000000,0.000000,2.173491
0.050000,4.319681,5.270001,1.487500,1.700000,0.000000,0.000000,2.187908
0.050000,4.269726,5.338770,1.572500,1.700000,0.000000,0.000000,2.211772
0.050000,4.217813,5.406071,1.657500,1.700000,0.000000,0.000000,2.245584
0.050000,4.163316,5.471293,1.742500,1.700000,0.000000,0.000000,2.289926
0.050000,4.105641,5.533716,1.827500,1.700000,0.000000,0.000000,2.345299
0.050000,4.044272,5.592505,1.912500,1.700000,0.000000,0.000000,2.411876
0.050000,3.978836,5.646723,1.997500,1.700000,0.000000,0.000000,2.489167
0.050000,3.914559,5.695396,2.082500,1.700000,0.000000,0.000000,2.490613
0.050000,3.847105,5.747115,2.167500,1.700000,0.000000,0.000000,2.484477
0.050000,3.779947,5.799219,2.252500,1.700000,0.000000,0.000000,2.479185
0.050000,3.713043,5.851649,2.337500,1.700000,0.000000,0.000000,2.474729
0.050000,3.646353,5.904349,2.422500,1.700000,0.000000,0.000000,2.471100
0.050000,3.579832,5.957264,2.507500,1.700000,0.000000,0.000000,2.468293
0.050000,3.513438,6.010338,2.592500,1.700000,0.000000,0.000000,2.466304
0.050000,3.447128,6.063517,2.677500,1.700000,0.000000,0.000000,2.465129
0.050000,3.380859,6.116747,2.762500,1.700000,0.000000,0.000000,2.464765
0.050000,3.314588,6.169974,2.847500,1.700000,0.000000,0.000000,2.465212
0.050000,3.248271,6.223144,2.932500,1.700000,0.000000,0.000000,2.466470
0.050000,3.181866,6.276205,3.017500,1.700000,0.000000,0.000000,2.468543
0.050000,3.115330,6.329100,3.102500,1.700000,0.000000,0.000000,2.471434
0.050000,3.048619,6.381775,3.187500,1.700000,0.000000,0.000000,2.475147
0.050000,2.981691,6.434174,3.272500,1.700000,0.000000,0.000000,2.479688
0.050000,2.914505,6.486241,3.357500,1.700000,0.000000,0.000000,2.485066
0.050000,2.847018,6.537918,3.442500,1.700000,0.000000,0.000000,2.491289
0.050000,2.779188,6.589144,3.527500,1.700000,0.000000,0.000000,2.498366
0.050000,2.710976,6.639860,3.612500,1.700000,0.000000,0.000000,2.506307
0.050000,2.642342,6.690002,3.697500,1.700000,0.000000,0.000000,2.515122
0.050000,2.573246,6.739507,3.782500,1.700000,0.000000,0.000000,2.524824
0.050000,2.503652,6.788308,3.867500,1.700000,0.000000,0.000000,2.535422
0.050000,2.433522,6.836337,3.952500,1.700000,0.000000,0.000000,2.546927
0.050000,2.362823,6.883524,4.037500,1.700000,0.000000,0.000000,2.559349
0.050000,2.291523,6.929796,4.122500,1.700000,0.000000,0.000000,2.572695
0.050000,2.219590,6.975078,4.207500,1.700000,0.000000,0.000000,2.586973
0.050000,2.146997,7.019295,4.292500,1.700000,0.000000,0.000000,2.602187
0.050000,2.073720,7.062368,4.377500,1.700000,0.000000,0.000000,2.618337
0.050000,1.999737,7.104218,4.462500,1.700000,0.000000,0.000000,2.635422
0.050000,1.925031,7.144763,4.547500,1.700000,0.000000,0.000000,2.653434
0.050000,1.849590,7.183920,4.632500,1.700000,0.000000,0.000000,2.672362
0.050000,1.773403,7.221609,4.717500,1.700000,0.000000,0.000000,2.692189
0.050000,1.696469,7.257746,4.802500,1.700000,0.000000,0.000000,2.712890
0.050000,1.618789,7.292250,4.887500,1.700000,0.000000,0.000000,2.734434
0.050000,1.540370,7.325040,4.972500,1.700000,0.000000,0.000000,2.756785
0.050000,1.461227,7.356039,5.057500,1.700000,0.000000,0.000000,2.779895
0.050000,1.381377,7.385172,5.142500,1.700000,0.000000,0.000000,2.803712
0.050000,1.300848,7.412369,5.227500,1.700000,0.000000,0.000000,2.828174
0.050000,1.219670,7.437564,5.312500,1.700000,0.000000,0.000000,2.853214
0.050000,1.137881,7.460698,5.397500,1.700000,0.000000,0.000000,2.878755
0.050000,1.055524,7.481718,5.482500,1.700000,0.000000,0.000000,2.904716
0.050000,0.972645,7.500578,5.567500,1.700000,0.000000,0.000000,2.931013
0.050000,0.889297,7.517241,5.652500,1.700000,0.000000,0.000000,2.957557
0.050000,0.806614,7.531508,5.736407,1.656275,-0.874492,-17.489838,2.983912
0.050000,0.727146,7.543116,5.816721,1.556275,-2.000000,-22.510162,3.009198
0.050000,0.652381,7.552172,5.892034,1.456275,-2.000000,-0.000000,3.032896
0.050000,0.582403,7.559028,5.962348,1.356275,-2.000000,0.000000,3.054953
0.050000,0.517282,7.564015,6.027662,1.256275,-2.000000,0.000000,3.075339
0.050000,0.457066,7.567444,6.087976,1.156275,-2.000000,-0.000000,3.094045
0.050000,0.401795,7.569602,6.143290,1.056275,-2.000000,0.000000,3.111076
0.050000,0.351495,7.570750,6.193603,0.956275,-2.000000,0.000000,3.126446
0.050000,0.306183,7.571125,6.238917,0.856275,-2.000000,0.000000,3.140177
0.050000,0.265870,7.570938,6.279231,0.756275,-2.000000,0.000000,3.152297
0.050000,0.230561,7.570373,6.314545,0.656275,-2.000000,0.000000,3.162835
0.050000,0.200257,7.569593,6.344858,0.556275,-2.000000,0.000000,3.171817
0.050000,0.174958,7.568734,6.370172,0.456275,-2.000000,0.000000,3.179272
0.050000,0.154662,7.567908,6.390486,0.356275,-2.000000,-0.000000,3.185223
0.050000,0.139364,7.567206,6.405800,0.256275,-2.000000,0.000000,3.189690
0.050000,0.129063,7.566695,6.416113,0.156275,-2.000000,-0.000000,3.192690
0.050000,0.123756,7.566419,6.421427,0.056275,-2.000000,0.000000,3.194232
0.050000,0.122351,7.566345,6.422834,0.000000,-1.125508,17.489838,3.194640
0.050000,0.122351,7.566345,6.422834,0.000000,0.000000,22.510162,3.194640
