dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.442986,4.713372,0.002500,0.100000,2.000000,40.000000,3.130479
0.050000,5.437358,4.713451,0.008128,0.112556,0.251128,-34.977430,3.124337
0.050000,5.428025,4.713661,0.017464,0.186720,1.483271,24.642846,3.113956
0.050000,5.415054,4.714115,0.030442,0.259564,1.456889,-0.527643,3.099120
0.050000,5.398549,4.714978,0.046970,0.330554,1.419784,-0.742085,3.079527
0.050000,5.378646,4.716460,0.066928,0.399169,1.372309,-0.949510,3.054787
0.050000,5.355518,4.718823,0.090177,0.464974,1.316090,-1.124384,3.024438
0.050000,5.329376,4.722380,0.116560,0.527657,1.253666,-1.248479,2.987968
0.050000,5.300464,4.727490,0.145920,0.587201,1.190883,-1.255647,2.944866
0.050000,5.269044,4.734568,0.178127,0.644144,1.138867,-1.040327,2.894704
0.050000,5.235371,4.744083,0.213118,0.699828,1.113679,-0.503764,2.837277
0.050000,5.199655,4.756573,0.250955,0.756733,1.138099,0.488397,2.772787
0.050000,5.162023,4.772669,0.291886,0.818613,1.237595,1.989922,2.702049
0.050000,5.122490,4.793124,0.336396,0.890216,1.432064,3.889376,2.626660
0.050000,5.080981,4.818821,0.385216,0.976391,1.723495,5.828631,2.549009
0.050000,5.037380,4.850740,0.439252,1.080719,2.086569,7.261480,2.472072
0.050000,4.991603,4.889862,0.499468,1.204328,2.472167,7.711964,2.399007
0.050000,4.944993,4.935611,0.564779,1.306204,2.037523,-8.692878,2.334445
0.050000,4.898862,4.986560,0.633509,1.374616,1.368247,-13.385530,2.281095
0.050000,4.853093,5.042235,0.705582,1.441460,1.336874,-0.627455,2.238701
0.050000,4.807493,5.102098,0.780835,1.505048,1.271771,-1.302067,2.206732
0.050000,4.761769,5.165606,0.859091,1.565118,1.201399,-1.407440,2.184611
0.050000,4.715525,5.232247,0.940204,1.622275,1.143123,-1.165521,2.171862
0.050000,4.668270,5.301548,1.024084,1.677587,1.106250,-0.737448,2.168185
