dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.569889,7.931447,0.002500,0.100000,2.000000,40.000000,5.908126
0.050000,6.577406,7.928472,0.010584,0.161677,1.233548,-15.329045,5.904688
0.050000,6.590662,7.923156,0.024866,0.285648,2.479405,24.917143,5.898841
0.050000,6.609240,7.915551,0.044941,0.401492,2.316892,-3.250248,5.890393
0.050000,6.633161,7.905482,0.070895,0.519076,2.351678,0.695713,5.879062
0.050000,6.662451,7.892704,0.102851,0.639123,2.400935,0.985140,5.864441
0.050000,6.697143,7.876882,0.140980,0.762593,2.469408,1.369460,5.845969
0.050000,6.737274,7.857564,0.185519,0.890771,2.563557,1.882987,5.822873
0.050000,6.782882,7.834139,0.236791,1.025435,2.693275,2.594350,5.794088
0.050000,6.833988,7.805768,0.295244,1.169057,2.872433,3.583162,5.758141
0.050000,6.890574,7.771291,0.361505,1.325235,3.123566,5.022668,5.712974
0.050000,6.952499,7.729082,0.436448,1.498845,3.472193,6.972535,5.655715
0.050000,7.019335,7.676851,0.521272,1.696485,3.952800,9.612140,5.582409
0.050000,7.089975,7.611432,0.617550,1.925568,4.581675,12.577492,5.487874
0.050000,7.161835,7.528813,0.727049,2.189966,5.287946,14.125425,5.366267
0.050000,7.229596,7.425091,0.850943,2.477880,5.758286,9.406795,5.213660
0.050000,7.284495,7.299418,0.988083,2.742812,5.298647,-9.192770,5.033784
0.050000,7.316454,7.161766,1.129397,2.826271,1.669182,-72.589303,4.848361
0.050000,7.323460,7.026671,1.264674,2.705544,-2.414556,-81.674761,4.682901
0.050000,7.311009,6.901162,1.390798,2.522487,-3.661124,-24.931361,4.547663
0.050000,7.285602,6.786987,1.507766,2.339365,-3.662451,-0.026540,4.442603
0.050000,7.252167,6.682991,1.617004,2.184757,-3.092148,11.406066,4.362988
0.050000,7.213885,6.587246,1.720119,2.062290,-2.449353,12.855888,4.303507
0.050000,7.172746,6.497954,1.818432,1.966273,-1.920344,10.580186,4.259802
0.050000,7.130042,6.413677,1.912911,1.889576,-1.533924,7.728395,4.228691
0.050000,7.086687,6.333323,2.004216,1.826086,-1.269799,5.282504,4.208002
0.050000,7.043390,6.256080,2.092765,1.770992,-1.101886,3.358259,4.196355
0.050000,7.000768,6.181359,2.178788,1.720454,-1.010761,1.822501,4.193000
0.050000,6.959415,6.108749,2.262348,1.671200,-0.985089,0.513448,4.197724
0.050000,6.919572,6.037554,2.343933,1.631707,-0.789859,3.904587,4.198706
0.050000,6.868292,5.951581,2.444038,2.002090,7.407673,163.950644,4.149115
0.050000,6.810548,5.865825,2.547423,2.067707,1.312326,-121.906932,4.088744
0.050000,6.744548,5.780754,2.655094,2.153417,1.714213,8.037724,4.014283
0.050000,6.667945,5.697392,2.768307,2.264265,2.216958,10.054902,3.921586
0.050000,6.577949,5.617859,2.888411,2.402072,2.756131,10.783459,3.806198
0.050000,6.472112,5.546140,3.016259,2.556966,3.097884,6.835057,3.665272
0.050000,6.350341,5.488399,3.151026,2.695329,2.767258,-6.612501,3.501499
0.050000,6.217371,5.451216,3.289097,2.761429,1.322010,-28.904974,3.326802
0.050000,6.082261,5.437558,3.424895,2.715960,-0.909379,-44.627782,3.159621
0.050000,5.953580,5.444727,3.553776,2.577626,-2.766688,-37.146182,3.015285
0.050000,5.835523,5.466912,3.673899,2.402452,-3.503483,-14.735900,2.899834
0.050000,5.728362,5.498577,3.785641,2.234838,-3.352272,3.024231,2.811980
0.050000,5.630581,5.535745,3.890248,2.092137,-2.854015,9.965140,2.747594
0.050000,5.540335,5.575809,3.988987,1.974781,-2.347138,10.137534,2.702491
0.050000,5.456019,5.617032,4.082841,1.877078,-1.954049,7.861782,2.673432
0.050000,5.376397,5.658159,4.172457,1.792333,-1.694905,5.182872,2.658283
0.050000,5.300587,5.698160,4.258173,1.714322,-1.560220,2.693711,2.655934
0.050000,5.228033,5.736083,4.340040,1.637333,-1.539775,0.408893,2.666213
0.050000,5.158500,5.770952,4.417827,1.555738,-1.631896,-1.842418,2.689872
0.050000,5.092105,5.801717,4.491003,1.463523,-1.844305,-4.248174,2.728649
0.050000,5.029400,5.827247,4.558706,1.354062,-2.189224,-6.898376,2.785368
0.050000,4.971449,5.846435,4.619750,1.220883,-2.663582,-9.487178,2.863912
