dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.458232,7.647835,0.002500,0.100000,2.000000,40.000000,5.908126
0.050000,6.464775,7.645246,0.010000,0.200000,2.000000,0.000000,5.904688
0.050000,6.476376,7.640593,0.022500,0.300000,2.000000,0.000000,5.898841
0.050000,6.492572,7.633963,0.040000,0.400000,2.000000,-0.000000,5.890393
0.050000,6.513310,7.625234,0.062500,0.500000,2.000000,0.000000,5.879062
0.050000,6.538515,7.614238,0.090000,0.600000,2.000000,-0.000000,5.864441
0.050000,6.568085,7.600753,0.122500,0.700000,2.000000,0.000000,5.845969
0.050000,6.601874,7.584490,0.160000,0.800000,2.000000,0.000000,5.822873
0.050000,6.639678,7.565074,0.202500,0.900000,2.000000,0.000000,5.794088
0.050000,6.681206,7.542024,0.250000,1.000000,2.000000,-0.000000,5.758141
0.050000,6.726039,7.514714,0.302500,1.100000,2.000000,0.000000,5.712974
0.050000,6.773551,7.482342,0.360000,1.200000,2.000000,-0.000000,5.655715
0.050000,6.822796,7.443879,0.422500,1.300000,2.000000,0.000000,5.582409
0.050000,6.872323,7.398053,0.490000,1.400000,2.000000,0.000000,5.487874
0.050000,6.919906,7.343412,0.562500,1.500000,2.000000,0.000000,5.366267
0.050000,6.962294,7.278622,0.640000,1.600000,2.000000,-0.000000,5.213660
0.050000,6.995302,7.203135,0.722500,1.700000,2.000000,0.000000,5.033784
0.050000,7.014468,7.120450,0.807500,1.700000,0.000000,-40.000000,4.848361
0.050000,7.018792,7.035657,0.892500,1.700000,0.000000,0.000000,4.682901
0.050000,7.010335,6.951144,0.977500,1.700000,0.000000,0.000000,4.547663
0.050000,6.991827,6.868224,1.062500,1.700000,0.000000,0.000000,4.442603
0.050000,6.965784,6.787335,1.147500,1.700000,0.000000,0.000000,4.362988
0.050000,6.934211,6.708430,1.232500,1.700000,0.000000,0.000000,4.303507
0.050000,6.898633,6.631241,1.317500,1.700000,0.000000,0.000000,4.259802
0.050000,6.860209,6.555426,1.402500,1.700000,0.000000,0.000000,4.228691
0.050000,6.819843,6.480624,1.487500,1.700000,0.000000,0.000000,4.208002
0.050000,6.778280,6.406479,1.572500,1.700000,0.000000,0.000000,4.196355
0.050000,6.736164,6.332646,1.657500,1.700000,0.000000,0.000000,4.193000
0.050000,6.694099,6.258785,1.742500,1.700000,0.000000,0.000000,4.197724
0.050000,6.654109,6.187329,1.827500,1.700000,0.000000,0.000000,4.198706
0.050000,6.610580,6.114332,1.912500,1.700000,0.000000,0.000000,4.149115
0.050000,6.563125,6.043828,1.997500,1.700000,0.000000,0.000000,4.088744
