dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.346576,7.364223,0.002500,0.100000,2.000000,40.000000,5.908126
0.050000,6.352144,7.362019,0.008488,0.119767,0.395336,-32.093288,5.904688
0.050000,6.362091,7.358030,0.019206,0.214350,1.891673,29.926742,5.898841
0.050000,6.375904,7.352376,0.034131,0.298503,1.683056,-4.172334,5.890393
0.050000,6.393458,7.344987,0.053177,0.380922,1.648373,-0.693661,5.879062
0.050000,6.414579,7.335773,0.076220,0.460867,1.598894,-0.989583,5.864441
0.050000,6.439027,7.324625,0.103090,0.537386,1.530391,-1.370050,5.845969
0.050000,6.466473,7.311415,0.133549,0.609192,1.436115,-1.885518,5.822873
0.050000,6.496474,7.296010,0.167275,0.674507,1.306298,-2.596354,5.794088
0.050000,6.528425,7.278280,0.203815,0.730813,1.126119,-3.603579,5.758141
0.050000,6.561505,7.258138,0.242545,0.774600,0.875742,-5.007538,5.712974
0.050000,6.594604,7.235602,0.282588,0.800844,0.524886,-7.017125,5.655715
0.050000,6.626258,7.210908,0.322734,0.802940,0.041910,-9.659514,5.582409
0.050000,6.654671,7.184674,0.361406,0.773428,-0.590229,-12.642768,5.487874
0.050000,6.677977,7.158012,0.396818,0.708251,-1.303535,-14.266130,5.366267
0.050000,6.694993,7.132153,0.427774,0.619102,-1.782993,-9.589152,5.213660
0.050000,6.706109,7.106852,0.455409,0.552716,-1.327708,9.105691,5.033784
0.050000,6.712481,7.079133,0.483851,0.568835,0.322377,33.001692,4.848361
0.050000,6.714125,7.044644,0.518380,0.690569,2.434677,42.246009,4.682901
0.050000,6.709661,7.001126,0.562126,0.874926,3.687140,25.049262,4.547663
0.050000,6.698052,6.949460,0.615079,1.059068,3.682832,-0.086170,4.442603
0.050000,6.679400,6.891679,0.675797,1.214348,3.105607,-11.544491,4.362988
0.050000,6.654537,6.829613,0.742657,1.337210,2.457235,-12.967449,4.303507
0.050000,6.624521,6.764528,0.814330,1.433459,1.924985,-10.645002,4.259802
