dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.142592,7.871145,0.002500,0.100000,2.000000,40.000000,0.000432
0.050000,0.147852,7.871143,0.007761,0.105215,0.104300,-37.913990,6.282380
0.050000,0.160977,7.871119,0.020885,0.262494,3.145572,60.825422,6.280331
0.050000,0.179343,7.871040,0.039252,0.367324,2.096614,-20.979144,6.277489
0.050000,0.202942,7.870863,0.062851,0.471987,2.093254,-0.067203,6.273882
0.050000,0.231762,7.870532,0.091673,0.576434,2.088938,-0.086319,6.269545
0.050000,0.265788,7.869982,0.125704,0.680617,2.083662,-0.105532,6.264523
0.050000,0.305003,7.869139,0.164928,0.784486,2.077383,-0.125567,6.258866
0.050000,0.349386,7.867920,0.209328,0.887995,2.070169,-0.144294,6.252633
0.050000,0.398912,7.866239,0.258882,0.991094,2.061983,-0.163722,6.245891
0.050000,0.453553,7.864002,0.313569,1.093735,2.052835,-0.182960,6.238716
0.050000,0.513277,7.861118,0.373363,1.195873,2.042754,-0.201606,6.231191
0.050000,0.578049,7.857492,0.438236,1.297463,2.031796,-0.219171,6.223404
0.050000,0.647830,7.853034,0.508159,1.398460,2.019949,-0.236930,6.215454
0.050000,0.722578,7.847660,0.583100,1.498824,2.007268,-0.253628,6.207444
0.050000,0.802250,7.841291,0.663026,1.598513,1.993791,-0.269538,6.199485
0.050000,0.886798,7.833861,0.747900,1.697491,1.979557,-0.284676,6.191694
0.050000,0.973628,7.825570,0.835124,1.744481,0.939797,-20.795194,6.184397
0.050000,1.060174,7.816700,0.922124,1.739997,-0.089673,-20.589406,6.177835
0.050000,1.146443,7.807318,1.008901,1.735545,-0.089058,0.012307,6.172004
0.050000,1.232439,7.797490,1.095458,1.731122,-0.088444,0.012265,6.166898
0.050000,1.318170,7.787279,1.181794,1.726728,-0.087878,0.011321,6.162513
0.050000,1.403642,7.776751,1.267912,1.722360,-0.087370,0.010162,6.158845
0.050000,1.488863,7.765966,1.353813,1.718014,-0.086909,0.009219,6.155890
0.050000,1.573841,7.754988,1.439497,1.713687,-0.086552,0.007135,6.153645
0.050000,1.658584,7.743877,1.524966,1.709375,-0.086245,0.006145,6.152107
