dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.142723,7.566345,0.002500,0.100000,2.000000,40.000000,0.000432
0.050000,0.147607,7.566343,0.010000,0.200000,2.000000,0.000000,6.282380
0.050000,0.160107,7.566320,0.022500,0.300000,2.000000,0.000000,6.280331
0.050000,0.177607,7.566245,0.040000,0.400000,2.000000,-0.000000,6.277489
0.050000,0.200106,7.566076,0.062500,0.500000,2.000000,0.000000,6.273882
0.050000,0.227604,7.565761,0.090000,0.600000,2.000000,-0.000000,6.269545
0.050000,0.260100,7.565235,0.122500,0.700000,2.000000,0.000000,6.264523
0.050000,0.297591,7.564429,0.160000,0.800000,2.000000,0.000000,6.258866
0.050000,0.340075,7.563263,0.202500,0.900000,2.000000,0.000000,6.252633
0.050000,0.387548,7.561651,0.250000,1.000000,2.000000,-0.000000,6.245891
0.050000,0.440004,7.559504,0.302500,1.100000,2.000000,0.000000,6.238716
0.050000,0.497437,7.556730,0.360000,1.200000,2.000000,-0.000000,6.231191
0.050000,0.559839,7.553236,0.422500,1.300000,2.000000,0.000000,6.223404
0.050000,0.627201,7.548933,0.490000,1.400000,2.000000,0.000000,6.215454
0.050000,0.699514,7.543733,0.562500,1.500000,2.000000,0.000000,6.207444
0.050000,0.776768,7.537558,0.640000,1.600000,2.000000,-0.000000,6.199485
0.050000,0.858951,7.530336,0.722500,1.700000,2.000000,0.000000,6.191694
0.050000,0.943566,7.522256,0.807500,1.700000,0.000000,-40.000000,6.184397
0.050000,1.028123,7.513590,0.892500,1.700000,0.000000,0.000000,6.177835
0.050000,1.112624,7.504400,0.977500,1.700000,0.000000,0.000000,6.172004
0.050000,1.197074,7.494748,1.062500,1.700000,0.000000,0.000000,6.166898
0.050000,1.281478,7.484696,1.147500,1.700000,0.000000,0.000000,6.162513
0.050000,1.365840,7.474304,1.232500,1.700000,0.000000,0.000000,6.158845
0.050000,1.450168,7.463633,1.317500,1.700000,0.000000,0.000000,6.155890
0.050000,1.534467,7.452742,1.402500,1.700000,0.000000,0.000000,6.153645
0.050000,1.618746,7.441692,1.487500,1.700000,0.000000,0.000000,6.152107
0.050000,1.703011,7.430542,1.572500,1.700000,0.000000,0.000000,6.151275
0.050000,1.787272,7.419352,1.657500,1.700000,0.000000,0.000000,6.151148
0.050000,1.871534,7.408181,1.742500,1.700000,0.000000,0.000000,6.151725
0.050000,1.955807,7.397088,1.827500,1.700000,0.000000,0.000000,6.153008
0.050000,2.040098,7.386133,1.912500,1.700000,0.000000,0.000000,6.154998
