dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.142855,7.261545,0.002500,0.100000,2.000000,40.000000,0.000432
0.050000,0.147362,7.261543,0.007006,0.090127,-0.197460,-43.949203,6.282380
0.050000,0.159237,7.261521,0.018882,0.237506,2.947577,62.900736,6.280331
0.050000,0.175870,7.261450,0.035515,0.332676,1.903395,-20.883630,6.277489
0.050000,0.197270,7.261289,0.056916,0.428012,1.906735,0.066798,6.273882
0.050000,0.223447,7.260989,0.083094,0.523565,1.911050,0.086308,6.269545
0.050000,0.254412,7.260489,0.114063,0.619382,1.916344,0.105880,6.264523
0.050000,0.290179,7.259719,0.149839,0.715511,1.922583,0.124764,6.258866
0.050000,0.330764,7.258605,0.190439,0.812002,1.929821,0.144765,6.252633
0.050000,0.376183,7.257063,0.235884,0.908903,1.938014,0.163864,6.245891
0.050000,0.426454,7.255005,0.286197,1.006260,1.947146,0.182641,6.238716
0.050000,0.481596,7.252342,0.341403,1.104121,1.957207,0.201210,6.231191
0.050000,0.541628,7.248981,0.401530,1.202530,1.968195,0.219773,6.223404
0.050000,0.606573,7.244832,0.466606,1.301532,1.980041,0.236921,6.215454
0.050000,0.676451,7.239807,0.536665,1.401169,1.992723,0.253632,6.207444
0.050000,0.751286,7.233825,0.611739,1.501479,2.006201,0.269567,6.199485
0.050000,0.831103,7.226810,0.691864,1.602501,2.020438,0.284740,6.191694
0.050000,0.913504,7.218942,0.774639,1.655511,1.060210,-19.204561,6.184397
0.050000,0.996071,7.210479,0.857639,1.659997,0.089716,-19.409888,6.177835
0.050000,1.078806,7.201482,0.940862,1.664451,0.089074,-0.012843,6.172004
0.050000,1.161710,7.192007,1.024305,1.668874,0.088472,-0.012035,6.166898
0.050000,1.244786,7.182112,1.107969,1.673269,0.087901,-0.011423,6.162513
0.050000,1.328039,7.171857,1.191851,1.677638,0.087378,-0.010455,6.158845
0.050000,1.411473,7.161299,1.275950,1.681985,0.086938,-0.008799,6.155890
0.050000,1.495093,7.150496,1.360266,1.686312,0.086545,-0.007869,6.153645
0.050000,1.578907,7.139507,1.444797,1.690626,0.086267,-0.005562,6.152107
