dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.385453,5.223495,0.002500,0.100000,2.000000,40.000000,6.128368
0.050000,1.391184,5.222597,0.010000,0.200000,2.000000,0.000000,6.127577
0.050000,1.403532,5.220652,0.022500,0.300000,2.000000,0.000000,6.126267
0.050000,1.420814,5.217902,0.040000,0.400000,2.000000,-0.000000,6.124448
0.050000,1.443027,5.214319,0.062500,0.500000,2.000000,0.000000,6.122138
0.050000,1.470165,5.209872,0.090000,0.600000,2.000000,-0.000000,6.119355
0.050000,1.502221,5.204519,0.122500,0.700000,2.000000,0.000000,6.116125
0.050000,1.539188,5.198216,0.160000,0.800000,2.000000,0.000000,6.112479
0.050000,1.581055,5.190911,0.202500,0.900000,2.000000,0.000000,6.108450
0.050000,1.627814,5.182551,0.250000,1.000000,2.000000,-0.000000,6.104079
0.050000,1.679452,5.173076,0.302500,1.100000,2.000000,0.000000,6.099408
0.050000,1.735957,5.162429,0.360000,1.200000,2.000000,-0.000000,6.094488
0.050000,1.797317,5.150547,0.422500,1.300000,2.000000,0.000000,6.089370
0.050000,1.863519,5.137370,0.490000,1.400000,2.000000,0.000000,6.084115
0.050000,1.934548,5.122842,0.562500,1.500000,2.000000,0.000000,6.078785
0.050000,2.010392,5.106906,0.640000,1.600000,2.000000,-0.000000,6.073447
0.050000,2.091038,5.089513,0.722500,1.700000,2.000000,0.000000,6.068174
0.050000,2.174034,5.071168,0.807500,1.700000,0.000000,-40.000000,6.063183
0.050000,2.256942,5.052427,0.892500,1.700000,0.000000,0.000000,6.058640
0.050000,2.339769,5.033328,0.977500,1.700000,0.000000,0.000000,6.054545
0.050000,2.422521,5.013908,1.062500,1.700000,0.000000,0.000000,6.050897
0.050000,2.505205,4.994205,1.147500,1.700000,0.000000,0.000000,6.047696
0.050000,2.587831,4.974256,1.232500,1.700000,0.000000,0.000000,6.044942
0.050000,2.670406,4.954098,1.317500,1.700000,0.000000,0.000000,6.042633
0.050000,2.752939,4.933768,1.402500,1.700000,0.000000,0.000000,6.040771
0.050000,2.835439,4.913302,1.487500,1.700000,0.000000,0.000000,6.039353
0.050000,2.917914,4.892738,1.572500,1.700000,0.000000,0.000000,6.038381
0.050000,3.000373,4.872112,1.657500,1.700000,0.000000,0.000000,6.037853
0.050000,3.082826,4.851461,1.742500,1.700000,0.000000,0.000000,6.037771
0.050000,3.165283,4.830821,1.827500,1.700000,0.000000,0.000000,6.038133
0.050000,3.247751,4.810230,1.912500,1.700000,0.000000,0.000000,6.038939
0.050000,3.330240,4.789723,1.997500,1.700000,0.000000,0.000000,6.040191
0.050000,3.412759,4.769339,2.082500,1.700000,0.000000,0.000000,6.041887
0.050000,3.495318,4.749112,2.167500,1.700000,0.000000,0.000000,6.044030
0.050000,3.577924,4.729081,2.252500,1.700000,0.000000,0.000000,6.046618
0.050000,3.660586,4.709282,2.337500,1.700000,0.000000,0.000000,6.049652
0.050000,3.743312,4.689752,2.422500,1.700000,0.000000,0.000000,6.053134
0.050000,3.826109,4.670530,2.507500,1.700000,0.000000,0.000000,6.057062
0.050000,3.908986,4.651651,2.592500,1.700000,0.000000,0.000000,6.061439
0.050000,3.991949,4.633153,2.677500,1.700000,0.000000,0.000000,6.066263
0.050000,4.075004,4.615075,2.762500,1.700000,0.000000,0.000000,6.071535
0.050000,4.158158,4.597453,2.847500,1.700000,0.000000,0.000000,6.077255
0.050000,4.241414,4.580326,2.932500,1.700000,0.000000,0.000000,6.083424
0.050000,4.324778,4.563732,3.017500,1.700000,0.000000,0.000000,6.090039
0.050000,4.408254,4.547708,3.102500,1.700000,0.000000,0.000000,6.097101
0.050000,4.491844,4.532293,3.187500,1.700000,0.000000,0.000000,6.104609
0.050000,4.575551,4.517524,3.272500,1.700000,0.000000,0.000000,6.112560
0.050000,4.659376,4.503439,3.357500,1.700000,0.000000,0.000000,6.120952
0.050000,4.743319,4.490078,3.442500,1.700000,0.000000,0.000000,6.129782
0.050000,4.826057,4.477668,3.526164,1.646562,-1.068770,-21.375390,6.138899
0.050000,4.905106,4.466546,3.605992,1.546562,-2.000000,-18.624610,6.147987
0.050000,4.979295,4.456787,3.680820,1.446562,-2.000000,0.000000,6.156846
0.050000,5.048603,4.448283,3.750648,1.346562,-2.000000,-0.000000,6.165408
0.050000,5.113012,4.440928,3.815476,1.246562,-2.000000,0.000000,6.173608
0.050000,5.172506,4.434616,3.875304,1.146562,-2.000000,0.000000,6.181387
0.050000,5.227071,4.429243,3.930132,1.046562,-2.000000,-0.000000,6.188691
0.050000,5.276692,4.424709,3.979961,0.946562,-2.000000,0.000000,6.195473
0.050000,5.321359,4.420921,4.024789,0.846562,-2.000000,0.000000,6.201690
0.050000,5.361064,4.417789,4.064617,0.746562,-2.000000,0.000000,6.207303
0.050000,5.395798,4.415235,4.099445,0.646562,-2.000000,-0.000000,6.212281
0.050000,5.425556,4.413186,4.129273,0.546562,-2.000000,0.000000,6.216594
0.050000,5.450332,4.411579,4.154101,0.446562,-2.000000,0.000000,6.220220
0.050000,5.470123,4.410360,4.173929,0.346562,-2.000000,-0.000000,6.223137
0.050000,5.484925,4.409487,4.188757,0.246562,-2.000000,0.000000,6.225333
0.050000,5.494737,4.408925,4.198585,0.146562,-2.000000,0.000000,6.226794
0.050000,5.499557,4.408655,4.203413,0.046562,-2.000000,0.000000,6.227513
0.050000,5.500720,4.408590,4.204577,0.000000,-0.931230,21.375390,6.227687
0.050000,5.500720,4.408590,4.204577,0.000000,0.000000,18.624610,6.227687
